feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Elusimicrobia	Group	Vespertilio murinus	-4.18142554713733	1.09374553610951	10	8	0.005067826787381	0.120978689370326
Endomicrobiia	Group	Vespertilio murinus	-3.84577441506706	1.15154901967864	10	8	0.0102364317853097	0.120978689370326
Dictyoglomia	Group	Vespertilio murinus	-4.22719336339694	1.08177414832237	10	8	0.00449591722546086	0.120978689370326
Aquificae	Group	Vespertilio murinus	-3.37667213817918	1.00240123193077	10	10	0.0098061552490285	0.120978689370326
Deferribacteres	Group	Vespertilio murinus	-3.85777905663349	1.05289363937086	10	10	0.00636455375617444	0.120978689370326
Oligoflexia	Group	Vespertilio murinus	-4.01030889816015	1.4052441306807	10	9	0.0213533962958608	0.120978689370326
Thermotogae	Group	Vespertilio murinus	-3.5480728223896	1.14915424931189	10	10	0.0149448913233669	0.120978689370326
Desulfobulbia	Group	Vespertilio murinus	-2.7389301413131	0.982480991994865	10	9	0.0236395140148912	0.120978689370326
Fusobacteriia	Group	Vespertilio murinus	-3.51838231107577	1.26007740260099	10	10	0.0234786819976401	0.120978689370326
Epsilonproteobacteria	Group	Vespertilio murinus	-3.35651811992689	1.17076102315336	10	10	0.0209266098697543	0.120978689370326
Opitutae	Group	Vespertilio murinus	-3.76988237386271	1.10156832910101	10	10	0.00905732844242981	0.120978689370326
Ignavibacteria	Group	Vespertilio murinus	-3.71077422184566	1.27348871752644	10	9	0.0194734303198433	0.120978689370326
Saprospiria	Group	Vespertilio murinus	-3.45808335444891	1.1241260864984	10	10	0.0152033043439071	0.120978689370326
Chitinophagia	Group	Vespertilio murinus	-3.54943618210384	0.949120802673573	10	10	0.00570773708636349	0.120978689370326
Flavobacteriia	Group	Vespertilio murinus	-3.40292213970742	1.03846463038539	10	10	0.0112400982849406	0.120978689370326
Caldilineae	Group	Vespertilio murinus	-3.79179962121019	1.20629174975959	10	8	0.0137355617652543	0.120978689370326
Ardenticatenia	Group	Vespertilio murinus	-3.59002548044256	1.05620706143617	10	8	0.00937461265861056	0.120978689370326
Tepidiformia	Group	Vespertilio murinus	-2.70034590454777	0.916269176943881	10	9	0.0185072937622394	0.120978689370326
Cyanophyceae	Group	Vespertilio murinus	-2.88456698204965	0.96860102152258	10	10	0.0176521805130022	0.120978689370326
Mollicutes	Group	Vespertilio murinus	-3.79221189667621	1.33715839181279	10	10	0.0219458434169909	0.120978689370326
Erysipelotrichia	Group	Vespertilio murinus	-3.63634815165576	1.06501977196203	10	10	0.00916409790105095	0.120978689370326
Tissierellia	Group	Vespertilio murinus	-3.57105513489085	1.1701909856056	10	10	0.0157805768863935	0.120978689370326
