feature	Coprothermobacteria	Nitrospinia	Chrysiogenetes	Calditrichia	Caldisericia	Atribacteria	Thermodesulfobiia	Elusimicrobia	Endomicrobiia	Dictyoglomia	Deltaproteobacteria	Synergistia	Thermodesulfovibrionia	Nitrospiria	Candidatus.Saccharimonadia	Candidatus.Babeliae	Aquificae	Deferribacteres	Oligoflexia	Bdellovibrionia	Bacteriovoracia	Thermotogae	Blastocatellia	Vicinamibacteria	Holophagae	Terriglobia	Syntrophia	Desulfomonilia	Candidatus.Desulfofervidia	Syntrophobacteria	Desulfobaccia	Thermodesulfobacteria	Desulfarculia	Desulfobulbia	Desulfobacteria	Desulfuromonadia	Desulfovibrionia	Spirochaetia	Myxococcia	Fusobacteriia	Desulfurellia	Epsilonproteobacteria	Lentisphaeria	Tichowtungiia	Kiritimatiellia	Spartobacteria	Methylacidiphilae	Opitutae	Verrucomicrobiae	Candidatus.Brocadiia	Phycisphaerae	Candidatus.Uabimicrobiia	Planctomycetia	Chlamydiia	Fibrobacteria	Candidatus.Cloacimonadia	Gemmatimonadetes	Balneolia	Rhodothermia	Ignavibacteria	Chlorobiia	Saprospiria	Chitinophagia	Sphingobacteriia	Cytophagia	Bacteroidia	Flavobacteriia	Vulcanimicrobiia	Chthonomonadetes	Fimbriimonadia	Armatimonadia	Thermomicrobia	Candidatus.Thermofonsia	Ktedonobacteria	Anaerolineae	Caldilineae	Ardenticatenia	Tepidiformia	Thermoflexia	Chloroflexia	Dehalococcoidia	Deinococci	Cyanophyceae	Candidatus.Izimaplasma	Mollicutes	Nitriliruptoria	Rubrobacteria	Acidimicrobiia	Coriobacteriia	Thermoleophilia	Actinomycetes	Limnochordia	Dethiobacteria	Negativicutes	Erysipelotrichia	Tissierellia	Clostridia	Bacilli	Hydrogenophilia	Zetaproteobacteria	Acidithiobacillia	Betaproteobacteria	Alphaproteobacteria	Gammaproteobacteria	Magnoliopsida	Cryptophyceae	Eumycetozoa	Kinetoplastea	Chlorarachniophyceae	Bacillariophyceae	Coscinodiscophyceae	Oligohymenophorea	Conoidasida	Aconoidasida	Malasseziomycetes	Ustilaginomycetes	Tremellomycetes	Agaricomycetes	Pucciniomycetes	Schizosaccharomycetes	Saccharomycetes	Dothideomycetes	Eurotiomycetes	Leotiomycetes	Sordariomycetes	Candidatus.Nanohalobia	Nanobdellia	Candidatus.Micrarchaeia	Candidatus.Lokiarchaeia	Thermoplasmata	Conexivisphaeria	Nitrososphaeria	Thermoprotei	Candidatus.Methanoliparia	Methanonatronarchaeia	Archaeoglobi	Thermococci	Methanopyri	Methanobacteria	Methanococci	Methanomicrobia	Halobacteria	Laserviricetes	Faserviricetes	Huolimaviricetes	Malgrandaviricetes	Tokiviricetes	Naldaviricetes	Chrymotiviricetes	Resentoviricetes	Howeltoviricetes	Leviviricetes	Stelpaviricetes	Duplopiviricetes	Pisoniviricetes	Magsaviricetes	Tolucaviricetes	Flasuviricetes	Alsuviricetes	Insthoviricetes	Ellioviricetes	Monjiviricetes	Revtraviricetes	Polintoviricetes	Maveriviricetes	Tectiliviricetes	Pokkesviricetes	Megaviricetes	Herviviricetes	Caudoviricetes	Arfiviricetes	Repensiviricetes	Papovaviricetes	Quintoviricetes
D1	0	1	2	3	5	11	12	2	12	22	23	28	11	28	5	25	49	49	43	64	198	306	18	41	144	171	0	2	2	5	8	21	27	36	129	204	301	1169	751	2851	9	3174	11	2	9	0	20	57	79	3	33	272	503	2854	2	9	52	2	36	42	45	61	302	562	1004	1288	6074	2	1	3	6	35	0	2	4	5	10	12	12	27	42	440	1622	56	5147	42	46	129	137	207	57060	43	48	287	482	529	11760	90548	0	2	33	10605	16035	21177082	0	13	216	460	7	34	57	22	351	4227	60	80	104	142	395	70	2151	197	797	85	1917	1	5	0	19	44	3	94	321	2	2	29	72	3	129	135	304	918	0	0	0	0	7	55	0	0	0	1	0	0	8	0	0	0	14	0	7	22	53	0	1	7	47	172	32	1251	0	2	7	19826907
D2	6	15	1	5	6	5	2	2	25	37	7	52	5	54	18	4	30	14	36	20	27	114	3	12	30	116	0	9	0	3	2	8	27	13	108	44	302	312	319	659	0	639	0	0	2	0	1	46	63	5	18	3	257	3242	9	0	88	1	10	7	39	29	168	271	514	656	1947	102	0	2	5	8	2	9	5	3	13	10	1	17	3	140	764	5	833	69	24	61	61	242	58083	8	5	151	199	158	117817	463800	0	0	12	16929	14189	14632297	0	11	32	130	2	24	25	1	295	3541	18	18	45	27	108	12	1310	81	310	24	1395	0	1	0	3	12	0	122	152	3	7	11	30	0	44	48	103	515	0	0	0	0	1	227	0	0	1	3	0	0	33	0	0	0	7	0	3	22	21	0	0	2	7	64	8	8082	0	2	0	14822420
D3	0	0	0	2	0	1	3	0	0	0	18	6	2	3	0	8	5	1	1	8	1	21	8	14	34	47	0	1	1	2	0	1	16	10	26	75	154	103	207	137	1	136	0	0	3	0	15	5	15	0	6	0	125	349	0	0	1	0	3	1	17	9	48	91	234	257	499	2	0	0	1	23	0	5	3	0	0	4	0	19	50	95	223	3	401	7	4	22	42	54	16062	29	76	80	15	28	1239	12513	0	0	14	5539	6010	1486467	0	5	9	72	1	1	24	2	111	502	31	8	9	21	28	3	192	13	85	14	397	0	0	0	0	0	0	14	73	0	0	5	8	0	17	3	57	486	0	0	0	1	0	41	0	0	0	0	0	0	0	0	0	1	4	0	0	0	3	0	0	1	6	26	3	6708	0	0	1	7311681
D4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	3	0	4	0	2	0	0	1	2	0	0	1	0	0	0	0	0	2	0	2	10	5	22	0	18	0	0	0	0	0	1	1	0	0	0	5	314	0	0	0	0	0	0	0	1	12	6	13	13	81	0	0	0	0	1	0	0	1	0	0	0	0	0	0	5	34	0	29	0	0	1	0	2	3747	0	0	3	6	4	81	4666	0	0	0	78	162	7597	0	3	2	6	0	3	5	0	10	33	7	4	12	6	2	2	131	9	14	0	115	0	0	0	0	0	0	0	2	0	0	0	2	0	6	0	2	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	0	0	0	1	0	0	1	0	1	0	201	0	0	0	9510121
D5	19	88	20	7	2	10	11	2	23	5	24	97	11	206	94	23	88	37	114	97	36	240	10	19	114	372	2	21	4	2	20	91	55	51	375	173	451	1087	809	2059	3	2225	6	3	5	0	32	74	228	5	76	13	811	1975	4	1	392	1	32	60	99	81	547	1104	1936	2052	6759	132	2	4	11	23	3	2	40	6	5	16	6	31	21	524	2439	45	3629	253	42	165	306	545	81507	22	28	325	383	569	11044	309005	4	1	113	40334	39399	17046860	0	50	229	426	7	75	26	26	584	3410	49	49	158	115	205	54	1950	304	527	129	2860	0	11	0	10	46	1	88	272	3	2	24	244	0	468	198	335	1409	0	0	1	2	3	43	0	1	1	0	1	1	147	0	0	2	34	1	7	10	67	0	2	3	34	255	24	3844	5	4	2	12848843
P1	13	73	52	52	25	44	67	36	120	127	261	790	154	364	107	87	428	374	352	303	150	1469	114	352	1152	1141	21	31	28	60	16	159	86	529	1331	1297	2423	8210	5874	21310	43	10941	75	27	17	5	68	594	1043	62	513	108	4154	7598	16	13	663	37	378	195	358	663	4276	8666	9452	8923	42913	217	8	24	76	216	36	62	105	85	137	269	114	102	96	3732	11371	207	17220	491	539	1079	1148	3018	410603	178	34	2868	2279	2150	49645	1218199	5	21	273	76192	238646	14641128	0	91	1016	4250	20	156	227	61	2659	17620	306	595	922	1154	1736	327	10155	1400	4624	750	17190	9	35	2	82	251	8	734	2248	25	23	356	606	15	1041	786	1939	6210	4	9	0	1	21	348	7	28	1	15	16	8	338	0	4	4	136	2	68	66	880	1	1	30	267	1618	617	242463	23	45	14	4673
P2	5	21	4	6	4	5	51	198	1393	910	19	68	23	64	30	460	652	1391	1051	351	28	4214	8	18	116	639	8	7	6	8	1	23	25	600	2150	972	7187	6082	725	37698	3	34212	3	2	7	1	4	1532	2120	10	77	19	2921	5144	2	57	106	0	28	836	109	1078	5550	5678	9613	6818	71773	60	2	7	7	162	12	405	9	910	880	244	4	501	16	1216	13430	1458	125530	94	56	853	749	1348	204274	8	230	6438	7716	7999	163747	1104086	1	36	69	100948	137727	79292512	0	22	1261	713	0	15	12	9	1092	19135	15	24	251	604	363	27	9910	116	921	1572	5449	1	8	2	6	741	1	1232	2230	276	11	6	582	3	1685	914	2315	5648	0	2	0	0	0	1052	0	279	0	0	0	0	73	0	0	0	58	0	9	249	4	0	0	3	669	1962	287	65044	0	1	2	314659
P3	0	0	2	2	1	3	8	2	11	20	44	67	4	14	1	16	52	37	25	17	16	241	14	69	232	179	0	2	6	5	3	12	12	42	132	159	218	958	659	904	1	1918	9	0	2	1	11	46	73	9	46	8	428	713	2	0	31	4	53	17	17	40	352	404	881	894	4919	5	1	3	6	12	2	3	9	4	14	31	11	11	6	359	1324	60	4092	25	61	100	94	217	41420	16	4	157	393	320	6236	17536	1	3	17	5622	7851	1089721	0	18	188	433	10	18	42	13	258	2226	63	59	99	112	196	52	1375	160	396	63	1661	0	22	0	6	31	1	96	193	2	3	17	57	0	144	135	229	716	0	3	0	0	4	40	0	4	0	3	2	1	14	0	0	0	33	1	6	8	60	0	0	7	18	181	55	933	3	1	3	28585827
P4	58	370	123	7	7	23	42	188	1232	790	43	421	9	1133	493	411	679	1088	1206	373	36	3717	26	43	153	2126	5	41	5	5	1	133	62	111	2175	599	3082	5491	2419	18637	3	21398	12	1	7	2	8	922	829	6	472	27	2915	5575	3	44	1933	0	27	655	568	1056	8268	5350	10900	10546	67350	367	4	5	55	15	7	39	321	47	43	35	8	69	11	1650	15806	1305	127061	1218	93	554	1603	4798	320378	12	176	8414	6489	7401	124748	2828079	4	6	157	164551	220199	67250234	0	163	1177	1067	1	17	16	3	3071	23950	57	62	639	655	476	38	11914	951	5134	1443	7206	0	7	0	36	291	2	1314	2282	184	3	4	727	1	1670	1039	2112	6729	1	0	0	1	1	1090	0	183	0	4	1	1	826	0	0	0	96	0	52	253	10	0	1	5	561	1808	55	6743000	1	1	3	45558
P5	108	438	71	28	15	27	25	23	264	231	143	1017	62	1615	463	43	627	184	731	269	91	1097	68	310	907	2623	13	229	19	35	8	125	380	347	1829	1160	4744	4452	8400	13446	8	6405	26	12	17	0	40	938	1420	78	455	46	6016	5198	9	14	2940	15	247	159	813	541	4023	3497	12298	14415	33122	2017	6	19	108	103	12	35	230	52	102	137	58	112	70	3678	12443	29	6491	1835	655	1511	2701	7913	598354	78	26	1899	1732	2450	160655	5422761	11	14	201	228928	378990	70031805	1	542	508	2692	19	120	304	11	6318	19992	319	306	1022	830	1324	164	7741	2031	4956	465	13087	3	16	1	92	165	10	1644	1788	8	10	151	842	13	510	922	1260	13564	0	4	0	0	7	421	2	4	0	23	7	5	1315	1	1	6	151	1	45	18	249	0	1	33	105	626	208	11881	9	11	14	24324
