feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Elusimicrobiaceae	Group	Vespertilio murinus	-4.18954827064398	1.09614568702905	10	8	0.0050747515588391	0.131822450846345
Endomicrobiaceae	Group	Vespertilio murinus	-3.85389713857371	1.15441997052842	10	8	0.0102557601864602	0.131822450846345
Dictyoglomaceae	Group	Vespertilio murinus	-4.23250008520215	1.08299310362415	10	8	0.00449273936168926	0.131822450846345
Candidatus.Absconditicoccaceae	Group	Vespertilio murinus	-3.44239081710337	1.20588862224303	10	8	0.0213260303389152	0.131822450846345
Candidatus.Saccharimonadaceae	Group	Vespertilio murinus	-2.42344484576259	0.381834443561275	10	5	0.000221356991935314	0.131822450846345
Candidatus.Babeliaceae	Group	Vespertilio murinus	-4.17180424034981	1.3089903396825	10	9	0.0128605265242307	0.131822450846345
Hydrogenothermaceae	Group	Vespertilio murinus	-2.92711775111517	0.712194322961399	10	9	0.00339064048205051	0.131822450846345
Flexistipitaceae	Group	Vespertilio murinus	-3.6448992460934	1.1932346251694	10	8	0.0157099899793817	0.131822450846345
Mucispirillaceae	Group	Vespertilio murinus	-5.99893507691662	1.26619466103115	10	8	0.00146816937639155	0.131822450846345
Silvanigrellaceae	Group	Vespertilio murinus	-4.01719662008086	1.40762649022181	10	9	0.021351323092379	0.131822450846345
Fervidobacteriaceae	Group	Vespertilio murinus	-3.37005941309546	1.01545499610831	10	10	0.0105594258285062	0.131822450846345
Petrotogaceae	Group	Vespertilio murinus	-3.18097666593594	0.895629323544819	10	9	0.00749120447934982	0.131822450846345
Desulfobulbaceae	Group	Vespertilio murinus	-2.80418577433846	0.951844535771913	10	9	0.0185371879563964	0.131822450846345
Desulfococcaceae	Group	Vespertilio murinus	-3.4012585967309	1.13099962462739	10	9	0.0168827626166296	0.131822450846345
Desulfobacteraceae	Group	Vespertilio murinus	-4.03799309440883	1.38228883138614	10	10	0.0192547668459277	0.131822450846345
Syntrophotaleaceae	Group	Vespertilio murinus	-3.25453103713559	1.14885914591049	10	8	0.0220536934387917	0.131822450846345
Geoalkalibacteraceae	Group	Vespertilio murinus	-4.33231822471008	1.14782081181296	10	9	0.00543151283478175	0.131822450846345
Leptospiraceae	Group	Vespertilio murinus	-2.59106260232856	0.855514937822965	10	9	0.0163427321743527	0.131822450846345
