feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Elusimicrobium	Group	Vespertilio murinus	-4.23532158683645	0.654117552238574	10	8	0.000193160911464614	0.0840199395191272
Endomicrobium	Group	Vespertilio murinus	-3.89967045476617	0.690143479678951	10	8	0.000481132850356108	0.0840199395191272
Mucispirillum	Group	Vespertilio murinus	-6.0134541452609	1.08615500230658	10	8	0.000549640107054587	0.0840199395191272
Silvanigrella	Group	Vespertilio murinus	-4.61020967805904	0.742341560899235	10	8	0.000256517243086309	0.0840199395191272
Sneathia	Group	Vespertilio murinus	-5.12386432089283	0.958540367295086	10	8	0.000689575984119264	0.0840199395191272
Candidatus.Pelagisphaera	Group	Vespertilio murinus	-5.31520101106631	0.984479502669776	10	7	0.000646791356098537	0.0840199395191272
Pseudopedobacter	Group	Vespertilio murinus	-4.47041292847495	0.803601388744007	10	8	0.000532810458274222	0.0840199395191272
Paludibacter	Group	Vespertilio murinus	-4.37038477030014	0.777844038362277	10	8	0.000499315752015155	0.0840199395191272
Porphyromonas	Group	Vespertilio murinus	-2.88872375590977	0.545054824447599	10	9	0.000728496836557781	0.0840199395191272
Mesoflavibacter	Group	Vespertilio murinus	-3.37908108112554	0.608917920382045	10	8	0.00054140466929389	0.0840199395191272
Cyanobacterium	Group	Vespertilio murinus	-3.99608215844569	0.727081241372528	10	9	0.000576417857766295	0.0840199395191272
Rippkaea	Group	Vespertilio murinus	-4.99797626510222	0.886327930966884	10	8	0.000487624973999465	0.0840199395191272
Gryllotalpicola	Group	Vespertilio murinus	-4.47708679642735	0.845917694165379	10	8	0.000734944800542194	0.0840199395191272
Keratinibaculum	Group	Vespertilio murinus	-3.84891972775523	0.59521998313985	10	9	0.000194900832915487	0.0840199395191272
Peptoniphilus	Group	Vespertilio murinus	-5.12666738877889	0.747331575586007	10	8	0.000129672813578684	0.0840199395191272
Gelria	Group	Vespertilio murinus	-4.93372634862665	0.904488856661811	10	8	0.000605313213682521	0.0840199395191272
Thermincola	Group	Vespertilio murinus	-4.00459598953175	0.553693222726733	10	7	8.95642286168316e-05	0.0840199395191272
Vallitalea	Group	Vespertilio murinus	-3.82830891782262	0.596350856531205	10	9	0.000204823837076763	0.0840199395191272
Cellulosilyticum	Group	Vespertilio murinus	-3.49994041606313	0.519576773969368	10	8	0.000147132000567581	0.0840199395191272
Desulfitobacterium	Group	Vespertilio murinus	-3.4627973007456	0.643362610418322	10	9	0.000659787454344321	0.0840199395191272
Coprococcus	Group	Vespertilio murinus	-4.20838706177689	0.536119995590325	10	8	5.00427910441271e-05	0.0840199395191272
Caminicella	Group	Vespertilio murinus	-4.18863012685737	0.754040519954513	10	9	0.000537865675815	0.0840199395191272
Hathewaya	Group	Vespertilio murinus	-3.94173264185117	0.70999892355827	10	8	0.000539868045945851	0.0840199395191272
Kurthia	Group	Vespertilio murinus	-3.3717435575192	0.590927436675355	10	8	0.000451326403920413	0.0840199395191272
Neoehrlichia	Group	Vespertilio murinus	-6.1196425451344	1.11837972753356	10	7	0.000593125407107702	0.0840199395191272
Afipia	Group	Vespertilio murinus	-4.45266085843578	0.782031599053756	10	9	0.000457688713224515	0.0840199395191272
Picrophilus	Group	Vespertilio murinus	-5.03305031887913	0.889969066125153	10	7	0.000478469882569441	0.0840199395191272
Methanospirillum	Group	Vespertilio murinus	-3.87262582826451	0.710908169364903	10	8	0.000610561488371571	0.0840199395191272
Agathobacter	Group	Vespertilio murinus	-4.03271106997201	0.771372434303255	10	8	0.000794836438565934	0.0877334979258467
Dictyoglomus	Group	Vespertilio murinus	-4.30415802373753	0.891205016962876	10	8	0.00130530740753344	0.0899176267487775
Flexistipes	Group	Vespertilio murinus	-3.65941831443769	0.767171845447626	10	8	0.00140859087792233	0.0899176267487775
Marinitoga	Group	Vespertilio murinus	-3.35065652094964	0.685535605308455	10	9	0.00121256221085656	0.0899176267487775
Hydrogenimonas	Group	Vespertilio murinus	-4.76817129872583	0.925391958406019	10	8	0.000871540728753315	0.0899176267487775
Lacipirellula	Group	Vespertilio murinus	-3.44818424324333	0.701620201740407	10	8	0.00117196381637241	0.0899176267487775
Aquirufa	Group	Vespertilio murinus	-4.08938877451559	0.790113325129119	10	8	0.000847202755946819	0.0899176267487775
Fluviicola	Group	Vespertilio murinus	-4.92610688401382	1.03682061094463	10	8	0.00144308481690306	0.0899176267487775
Cylindrospermum	Group	Vespertilio murinus	-4.21927973075905	0.885014495171925	10	8	0.00141319016380352	0.0899176267487775
Diaminobutyricimonas	Group	Vespertilio murinus	-4.46922784333834	0.88307702261061	10	8	0.000975871733701282	0.0899176267487775
Halanaerobium	Group	Vespertilio murinus	-3.46886858537376	0.692308956109984	10	8	0.00103901226888119	0.0899176267487775
Pusillibacter	Group	Vespertilio murinus	-3.05421656806667	0.647454129673784	10	7	0.00150746214973765	0.0899176267487775
Lachnospira	Group	Vespertilio murinus	-2.02891704346995	0.429210108781742	10	8	0.00148848713872169	0.0899176267487775
Filifactor	Group	Vespertilio murinus	-4.17787560779241	0.876286987196182	10	8	0.00141276819386203	0.0899176267487775
Pullulanibacillus	Group	Vespertilio murinus	-5.10032327267068	1.01771975817577	10	8	0.00103779246121083	0.0899176267487775
