feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Candidatus.Saccharimonadales	Group	Vespertilio murinus	-2.32530154137465	0.359621730180974	10	5	0.000194986794479501	0.066880470506469
Elusimicrobiales	Group	Vespertilio murinus	-4.21250629767637	1.10555299644501	10	8	0.00516031251032006	0.111760317826899
Endomicrobiales	Group	Vespertilio murinus	-3.87685516560609	1.16239342415061	10	8	0.0103038806982466	0.111760317826899
Dictyoglomales	Group	Vespertilio murinus	-4.25773658298229	1.09003700875369	10	8	0.00450607179710177	0.111760317826899
Aquificales	Group	Vespertilio murinus	-3.19018232129373	0.875280471720911	10	9	0.00654380658419529	0.111760317826899
Deferribacterales	Group	Vespertilio murinus	-3.88865519699275	1.06116637442796	10	10	0.00635966394361268	0.111760317826899
Thermotogales	Group	Vespertilio murinus	-3.48849468809236	1.07449803920607	10	10	0.0117603142423669	0.111760317826899
Petrotogales	Group	Vespertilio murinus	-3.20455022233647	0.903248385657567	10	9	0.00753351689771458	0.111760317826899
Leptospirales	Group	Vespertilio murinus	-2.61463615872909	0.855911632596109	10	9	0.0157061890694102	0.111760317826899
Campylobacterales	Group	Vespertilio murinus	-3.41928146013249	1.16693361793169	10	10	0.0189940125522968	0.111760317826899
Puniceicoccales	Group	Vespertilio murinus	-3.89824509222664	1.06524560124135	10	10	0.00640601999179079	0.111760317826899
Opitutales	Group	Vespertilio murinus	-3.02859972827583	0.929381723551687	10	9	0.0115492902344709	0.111760317826899
Ignavibacteriales	Group	Vespertilio murinus	-3.7412355001669	1.28024607546633	10	9	0.0192240779935482	0.111760317826899
Saprospirales	Group	Vespertilio murinus	-3.48895949480817	1.13015070379676	10	10	0.0149536881204537	0.111760317826899
Chitinophagales	Group	Vespertilio murinus	-3.5803123224631	0.957086305098134	10	10	0.00569845188865622	0.111760317826899
Flavobacteriales	Group	Vespertilio murinus	-3.43379828006669	1.04344833017939	10	10	0.011008596750297	0.111760317826899
Caldilineales	Group	Vespertilio murinus	-3.82220311890852	1.20295724976779	10	8	0.0130496380983396	0.111760317826899
Candidatus.Promineifilales	Group	Vespertilio murinus	-3.62056870002791	1.04762407474979	10	8	0.00861859838442907	0.111760317826899
Tepidiformales	Group	Vespertilio murinus	-2.7311169189779	0.904979361188936	10	9	0.0166130684754447	0.111760317826899
Trueperales	Group	Vespertilio murinus	-3.20621896446655	0.979930630487956	10	8	0.0113242904623036	0.111760317826899
Chroococcidiopsidales	Group	Vespertilio murinus	-2.63197620824929	0.724947145464147	10	9	0.006679452529298	0.111760317826899
Gloeobacterales	Group	Vespertilio murinus	-3.95147225049961	1.27042132569572	10	9	0.0144375510701624	0.111760317826899
Pseudanabaenales	Group	Vespertilio murinus	-3.14140312164804	0.961137463441318	10	10	0.0113830256667004	0.111760317826899
Chroococcales	Group	Vespertilio murinus	-3.29180585722116	0.94539314235249	10	10	0.00829592036963813	0.111760317826899
Mycoplasmatales	Group	Vespertilio murinus	-4.20233926702518	1.38829084465817	10	10	0.0163843269797143	0.111760317826899
Thermoleophilales	Group	Vespertilio murinus	-3.28133216221526	0.972911195982035	10	9	0.00974658028701784	0.111760317826899
Glycomycetales	Group	Vespertilio murinus	-3.20904450068793	0.920667047990229	10	9	0.00825194835185318	0.111760317826899
Nakamurellales	Group	Vespertilio murinus	-2.71067656593893	0.898540364261942	10	9	0.0166414722315788	0.111760317826899
Bifidobacteriales	Group	Vespertilio murinus	-2.86566325543076	0.980130534053783	10	10	0.0191806083942157	0.111760317826899
Geodermatophilales	Group	Vespertilio murinus	-4.01334116281271	1.29497430868543	10	10	0.0146842793107703	0.111760317826899
Propionibacteriales	Group	Vespertilio murinus	-2.98026600147988	1.00599121988068	10	10	0.0180765691392285	0.111760317826899
Selenomonadales	Group	Vespertilio murinus	-4.26665517929983	1.34445970487513	10	10	0.0131251040662704	0.111760317826899
Erysipelotrichales	Group	Vespertilio murinus	-3.66722429201503	1.07142454755972	10	10	0.00905106094290021	0.111760317826899
Tissierellales	Group	Vespertilio murinus	-3.69047041749528	1.20348583832407	10	10	0.0154299955023322	0.111760317826899
Thermoanaerobacterales	Group	Vespertilio murinus	-3.61598845917836	0.944187274812452	10	9	0.00501979312861686	0.111760317826899
Halanaerobiales	Group	Vespertilio murinus	-3.64297766379157	1.02544423213093	10	10	0.00748117556725579	0.111760317826899
Mariprofundales	Group	Vespertilio murinus	-3.3717069592011	0.792197066179369	10	7	0.00277587551478746	0.111760317826899
Sneathiellales	Group	Vespertilio murinus	-4.49408580516514	1.23900617156284	10	8	0.00671249230177844	0.111760317826899
Geminicoccales	Group	Vespertilio murinus	-5.0982377126729	1.05605696100975	10	9	0.00130859956548695	0.111760317826899
Rickettsiales	Group	Vespertilio murinus	-3.92650233374027	1.04522596307143	10	10	0.00557131096524374	0.111760317826899
Pseudomonadales	Group	Vespertilio murinus	-3.44819317951488	1.15931592768901	10	10	0.0177532714380748	0.111760317826899
Dictyosteliales	Group	Vespertilio murinus	-3.2215813974491	1.10164870849417	10	10	0.0191638582572657	0.111760317826899
Trichomonadida	Group	Vespertilio murinus	-3.63917107152714	1.14395198434486	10	10	0.012973494147807	0.111760317826899
Haemosporida	Group	Vespertilio murinus	-3.32180532204145	1.133554038106	10	10	0.0189855306047995	0.111760317826899
Trichosporonales	Group	Vespertilio murinus	-3.1675002612023	0.933391060578135	10	10	0.00945032532456791	0.111760317826899
Cantharellales	Group	Vespertilio murinus	-2.73434999254805	0.85939666647805	10	10	0.012964091934131	0.111760317826899
