feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Elusimicrobiota	Group	Vespertilio murinus	-3.89006363942714	1.1388154831617	10	8	0.00914331166437455	0.110894997923904
Dictyoglomota	Group	Vespertilio murinus	-4.22336438234948	1.0807554053784	10	8	0.00449502688422253	0.110894997923904
Candidatus.Absconditabacteria	Group	Vespertilio murinus	-3.43092592367963	1.20311480846555	10	8	0.0214228973262088	0.110894997923904
Aquificota	Group	Vespertilio murinus	-3.3723317265299	1.0014798907115	10	10	0.00982412687475828	0.110894997923904
Deferribacterota	Group	Vespertilio murinus	-3.85343864498421	1.05157871992528	10	10	0.00636038410808079	0.110894997923904
Thermotogota	Group	Vespertilio murinus	-3.54373241074033	1.14809345308112	10	10	0.0149659150765463	0.110894997923904
Campylobacterota	Group	Vespertilio murinus	-3.35056617622197	1.17026270484907	10	10	0.0210512492138589	0.110894997923904
Ignavibacteriota	Group	Vespertilio murinus	-3.70656599647074	1.27231331201719	10	9	0.0194918068327436	0.110894997923904
Bacteroidota	Group	Vespertilio murinus	-3.2737635514044	1.06817740570723	10	10	0.0154691877034698	0.110894997923904
Cyanobacteriota	Group	Vespertilio murinus	-2.8735587842325	0.952832310897847	10	10	0.0166655091802501	0.110894997923904
Evosea	Group	Vespertilio murinus	-3.18871752579274	1.09757082407187	10	10	0.0197322411915803	0.110894997923904
Parabasalia	Group	Vespertilio murinus	-3.6039545195186	1.13298694232016	10	10	0.0129792556874302	0.110894997923904
Candidatus.Thermoplasmatota	Group	Vespertilio murinus	-2.87202967026139	0.951737670739449	10	8	0.0166183335350156	0.110894997923904
Nitrososphaerota	Group	Vespertilio murinus	-2.90016301254182	0.737699765706651	10	9	0.00434836658117124	0.110894997923904
Duplornaviricota	Group	Vespertilio murinus	-5.21236833968028	1.1638903556552	10	6	0.00206015453988883	0.110894997923904
Peploviricota	Group	Vespertilio murinus	-3.17297986828647	1.05795311402947	10	9	0.017093324912624	0.110894997923904
Cossaviricota	Group	Vespertilio murinus	7.74253197840951	2.2217895607531	10	10	0.00826099698569513	0.110894997923904
Fusobacteriota	Group	Vespertilio murinus	-3.51404189942649	1.2589522303493	10	10	0.0235131833542726	0.112929704180371
Verrucomicrobiota	Group	Vespertilio murinus	-3.3597007721434	1.21388973359831	10	10	0.0243825497662164	0.112929704180371
Spirochaetota	Group	Vespertilio murinus	-3.02476755526088	1.11361824716368	10	10	0.0264050706327433	0.11618231078407
Negarnaviricota	Group	Vespertilio murinus	-2.16855838296742	0.823085674079564	10	8	0.0299602213365325	0.125547594172136
Mycoplasmatota	Group	Vespertilio murinus	-3.94954457479092	1.56660583654193	10	10	0.0357483836296693	0.133448929302124
Ascomycota	Group	Vespertilio murinus	-2.03346962798937	0.811419439706509	10	10	0.0365946026123248	0.133448929302124
Hofneiviricota	Group	Vespertilio murinus	-2.31293286709374	0.931366371794336	10	4	0.0379116276426489	0.133448929302124
Nucleocytoviricota	Group	Vespertilio murinus	-3.43554051401498	1.34350285236865	10	10	0.0337964279276377	0.133448929302124
Candidatus.Fervidibacteria	Group	Vespertilio murinus	-2.70627103662013	1.25873205774232	10	7	0.0637755127757	0.136566898160162
Thermodesulfobiota	Group	Vespertilio murinus	-2.09659262335246	0.985128729471017	10	9	0.0659732621306569	0.136566898160162
Synergistota	Group	Vespertilio murinus	-2.89375316173346	1.30278290744033	10	10	0.0570743633522594	0.136566898160162
Bdellovibrionota	Group	Vespertilio murinus	-2.50409153284106	1.11313897721804	10	10	0.0546033600609557	0.136566898160162
Acidobacteriota	Group	Vespertilio murinus	-2.72416264959867	1.2457528436596	10	10	0.0602244256712151	0.136566898160162
Thermodesulfobacteriota	Group	Vespertilio murinus	-3.04525948663963	1.3278456880278	10	10	0.0509948051469361	0.136566898160162
Candidatus.Omnitrophota	Group	Vespertilio murinus	-1.61437562917963	0.747499242306824	10	8	0.0628185548763584	0.136566898160162
Planctomycetota	Group	Vespertilio murinus	-2.77192891471351	1.24307162322619	10	10	0.0563055191919391	0.136566898160162
Candidatus.Cloacimonadota	Group	Vespertilio murinus	-2.94916106699728	1.26763323617815	10	6	0.0484248172666995	0.136566898160162
Armatimonadota	Group	Vespertilio murinus	-2.29687175167306	1.04569751883306	10	9	0.0593170135932866	0.136566898160162
Chloroflexota	Group	Vespertilio murinus	-2.92934029235391	1.34528173895478	10	10	0.0611008545543119	0.136566898160162
