feature	Coprothermobacterota	Candidatus.Fervidibacteria	Nitrospinota	Chrysiogenota	Calditrichota	Caldisericota	Atribacterota	Thermodesulfobiota	Elusimicrobiota	Dictyoglomota	Synergistota	Nitrospirota	Candidatus.Absconditabacteria	Candidatus.Bipolaricaulota	Candidatus.Saccharibacteria	Aquificota	Deferribacterota	Bdellovibrionota	Thermotogota	Acidobacteriota	Thermodesulfobacteriota	Spirochaetota	Myxococcota	Fusobacteriota	Campylobacterota	Candidatus.Omnitrophota	Lentisphaerota	Kiritimatiellota	Verrucomicrobiota	Planctomycetota	Chlamydiota	Fibrobacterota	Candidatus.Cloacimonadota	Gemmatimonadota	Balneolota	Rhodothermota	Ignavibacteriota	Chlorobiota	Bacteroidota	Vulcanimicrobiota	Armatimonadota	Thermomicrobiota	Chloroflexota	Deinococcota	Cyanobacteriota	Mycoplasmatota	Actinomycetota	Bacillota	Pseudomonadota	Streptophyta	Evosea	Heterolobosea	Euglenozoa	Fornicata	Parabasalia	Cercozoa	Bacillariophyta	Ciliophora	Apicomplexa	Microsporidia	Basidiomycota	Ascomycota	Candidatus.Korarchaeota	Candidatus.Nanohaloarchaeota	Nanoarchaeota	Candidatus.Micrarchaeota	Candidatus.Lokiarchaeota	Candidatus.Thermoplasmatota	Nitrososphaerota	Thermoproteota	Euryarchaeota	Dividoviricota	Hofneiviricota	Saleviricota	Phixviricota	Taleaviricota	Duplornaviricota	Lenarviricota	Pisuviricota	Kitrinoviricota	Negarnaviricota	Artverviricota	Preplasmiviricota	Nucleocytoviricota	Peploviricota	Uroviricota	Cressdnaviricota	Cossaviricota
D1	0	0	2.42015585174445e-08	4.84031170348889e-08	7.26046755523334e-08	1.21007792587222e-07	2.66217143691889e-07	2.90418702209334e-07	3.38821819244223e-07	5.32434287383778e-07	6.77643638488445e-07	9.43860782180334e-07	9.68062340697779e-08	9.68062340697779e-08	1.45209351104667e-07	1.18587636735478e-06	1.18587636735478e-06	7.38147534782056e-06	7.40567690633801e-06	9.07558444404168e-06	1.79333548614264e-05	2.82916219068926e-05	2.88724593113113e-05	6.89986433332342e-05	7.70335607610258e-05	4.84031170348889e-08	2.66217143691889e-07	2.66217143691889e-07	3.87224936279112e-06	1.96274639576475e-05	6.90712480087865e-05	4.84031170348889e-08	2.17814026657e-07	1.25848104290711e-06	4.84031170348889e-08	8.71256106628001e-07	1.01646545773267e-06	1.089070133285e-06	0.000228777332665403	4.84031170348889e-08	2.42015585174445e-07	8.47054548110557e-07	2.85578390505845e-06	1.06486857476756e-05	4.01019824634055e-05	0.000473914918888598	0.00139756739970687	0.00252957109780181	0.51474338373558	0	5.22753663976801e-06	2.42015585174445e-08	1.11327169180245e-05	3.41241975095967e-06	8.22852989593112e-06	1.69410909622111e-07	2.20234182508745e-06	5.32434287383778e-07	0.000111060952036553	3.38821819244223e-07	1.95306577235777e-05	0.000128365066376525	0	2.42015585174445e-08	1.21007792587222e-07	1.69410909622111e-07	4.59829611831445e-07	1.88772156436067e-06	2.51696208581423e-06	7.76870028409968e-06	3.86256873938414e-05	0	0	0	0	1.69410909622111e-07	0	2.42015585174445e-08	1.93612468139556e-07	3.38821819244223e-07	7.0184519700589e-07	1.28268260142456e-06	1.93612468139556e-07	5.30014131532034e-06	7.74449872558223e-07	3.0276149705323e-05	4.84031170348889e-08	0.479842219391339
D2	1.98824878691971e-07	1.32549919127981e-07	4.97062196729927e-07	3.31374797819951e-08	1.65687398909976e-07	1.98824878691971e-07	1.65687398909976e-07	6.62749595639903e-08	8.94711954113869e-07	1.22608675193382e-06	1.72314894866375e-06	1.95511130713771e-06	1.98824878691971e-07	6.62749595639903e-08	6.29612115857908e-07	9.94124393459854e-07	4.63924716947932e-07	2.7504108219056e-06	3.77767269514745e-06	5.36827172468321e-06	1.70989395675095e-05	1.03388936919825e-05	1.92860132331212e-05	2.18375991763348e-05	2.11748495806949e-05	9.94124393459854e-08	0	6.62749595639903e-08	3.67826025580146e-06	9.41104425808662e-06	0.000107431709453228	2.98237318037956e-07	0	2.91609822081557e-06	3.31374797819951e-08	3.31374797819951e-07	2.31962358473966e-07	1.29236171149781e-06	0.00012108435112341	3.38002293776351e-06	2.31962358473966e-07	2.65099838255961e-07	2.25334862517567e-06	4.63924716947932e-06	2.55489969119183e-05	5.42791918829081e-05	0.00194122670310906	0.0193199128749382	0.486551982267472	0	1.06039935302384e-06	0	4.30787237165937e-06	3.31374797819951e-08	4.30787237165937e-06	6.62749595639903e-08	1.62373650931776e-06	3.31374797819951e-08	0.000127811259519155	2.31962358473966e-07	7.65475782964088e-06	0.000104780711070669	3.31374797819951e-08	0	3.31374797819951e-08	0	9.94124393459854e-08	4.63924716947932e-07	4.14218497274939e-06	5.03689692686326e-06	2.52176221140983e-05	0	0	0	0	3.31374797819951e-08	0	1.32549919127981e-07	1.09353683280584e-06	2.31962358473966e-07	8.28436994549879e-07	6.95887075421898e-07	6.62749595639903e-08	2.35276106452166e-06	2.65099838255961e-07	0.000267817111598085	6.62749595639903e-08	0.491177643070241
D3	0	0	0	0	2.2581804846236e-07	0	1.1290902423118e-07	3.3872707269354e-07	0	0	6.77454145387079e-07	5.64545121155899e-07	0	0	1.1290902423118e-07	5.64545121155899e-07	1.1290902423118e-07	1.1290902423118e-06	2.37108950885478e-06	1.16296294958115e-05	3.31952531239669e-05	1.16296294958115e-05	3.2630708002811e-05	1.54685363196716e-05	1.54685363196716e-05	0	0	3.3872707269354e-07	3.9518158480913e-06	1.47910821742846e-05	3.94052494566818e-05	0	0	1.1290902423118e-07	0	3.3872707269354e-07	1.1290902423118e-07	1.91945341193006e-06	0.000131877740302018	2.2581804846236e-07	1.1290902423118e-07	2.59690755731714e-06	9.14563096272557e-06	1.07263573019621e-05	2.54045304520155e-05	8.36655869553043e-05	0.00183014237376319	0.00158411360996345	0.169563836955756	0	1.01618121808062e-06	0	8.12944974464495e-06	1.1290902423118e-07	3.04854365424186e-06	1.1290902423118e-07	2.8227256057795e-06	2.2581804846236e-07	7.07939581929498e-05	1.1290902423118e-07	1.20812655927362e-05	8.01654072041377e-05	1.1290902423118e-07	0	0	0	0	0	1.58072633923652e-06	8.24235876887613e-06	6.50355979571596e-05	0	0	0	1.1290902423118e-07	0	0	0	0	5.64545121155899e-07	0	3.3872707269354e-07	1.1290902423118e-07	3.61308877539776e-06	3.3872707269354e-07	0.000757393734542755	0	0.825554880108682
D4	0	0	0	0	0	0	0	0	0	0	1.04955142172236e-07	1.04955142172236e-07	0	0	0	1.04955142172236e-07	3.14865426516707e-07	4.19820568688942e-07	2.09910284344471e-07	3.14865426516707e-07	5.24775710861178e-07	1.04955142172236e-06	6.29730853033414e-07	2.30901312778918e-06	1.88919255910024e-06	0	0	0	2.09910284344471e-07	5.24775710861178e-07	3.2955914642082e-05	0	0	0	0	0	0	0	1.32243479137017e-05	0	0	1.04955142172236e-07	1.04955142172236e-07	5.24775710861178e-07	3.88334026037272e-06	4.7229813977506e-06	0.000393686738288056	0.000499691431882014	0.000842369971074363	0	2.09910284344471e-07	0	6.29730853033414e-07	0	6.29730853033414e-07	0	8.39641137377885e-07	0	4.51307111340613e-06	0	3.2536094073393e-06	2.92824846660537e-05	0	0	0	0	0	0	0	2.09910284344471e-07	1.57432713258353e-06	0	0	0	0	0	0	0	0	1.36441684823906e-06	0	1.04955142172236e-07	1.04955142172236e-07	1.04955142172236e-07	0	2.10959835766194e-05	0	0.998136101630163
D5	6.23652643596267e-07	6.56476466943439e-08	2.88849645455113e-06	6.56476466943439e-07	2.29766763430204e-07	6.56476466943439e-08	3.2823823347172e-07	3.61062056818892e-07	8.20595583679299e-07	1.6411911673586e-07	3.18391086467568e-06	7.12276966633632e-06	3.2823823347172e-07	9.84714700415159e-08	3.21673468802285e-06	2.88849645455113e-06	1.21448146384536e-06	8.10748436675148e-06	7.87771760332127e-06	1.69042690237936e-05	4.11282506540065e-05	3.56794959783759e-05	5.46516658730413e-05	6.75842522718271e-05	7.31314784174991e-05	9.84714700415159e-08	1.96942940083032e-07	2.62590586777376e-07	1.11600999380385e-05	2.97383839525378e-05	6.48270511106646e-05	1.31295293388688e-07	3.2823823347172e-08	1.28669387520914e-05	3.2823823347172e-08	1.0503623471095e-06	1.96942940083032e-06	3.24955851137002e-06	0.000413153464470854	4.3327446818267e-06	5.58004996901923e-07	7.54947936984955e-07	4.5625114452569e-06	1.71996834339181e-05	8.09107245507789e-05	0.00040878789596568	0.00272516510957561	0.0105782648453865	0.562929095585173	0	7.51665554650238e-06	3.2823823347172e-08	1.39829487458953e-05	1.96942940083032e-07	1.32280008089103e-05	2.29766763430204e-07	3.31520615806437e-06	8.53419407026471e-07	0.000132969308379394	5.58004996901923e-07	1.92347604814428e-05	0.000193201024221454	0	0	3.61062056818892e-07	1.96942940083032e-07	3.2823823347172e-07	1.57554352066425e-06	3.21673468802285e-06	8.92807995043078e-06	8.80991418638096e-05	0	0	3.2823823347172e-08	6.56476466943439e-08	9.84714700415159e-08	3.2823823347172e-08	3.2823823347172e-08	4.89074967872862e-06	1.18165764049819e-06	5.90828820249095e-07	2.19919616426052e-06	1.6411911673586e-07	9.4860849473327e-06	7.87771760332127e-07	0.000126174776946529	2.95414410124548e-07	0.421748218495194
P1	7.53765682892285e-07	1.91340519503426e-06	4.23268421931821e-06	3.01506273156914e-06	3.01506273156914e-06	1.44954939017747e-06	2.55120692671235e-06	3.88479236567562e-06	9.04518819470742e-06	7.36371090210155e-06	4.58057607296081e-05	3.00346633644772e-05	2.95708075596204e-06	1.97138717064136e-06	9.04518819470742e-06	2.48162855598383e-05	2.1685258877055e-05	4.67334723393217e-05	8.51755221668282e-05	0.000159972270699986	0.000347601943764557	0.000476032019734281	0.000544102859097015	0.00123559590018728	0.000636874020068374	5.79819756070988e-07	4.34864817053241e-06	2.55120692671235e-06	0.000103787736336707	0.000280980653792001	0.000440547050662737	9.27711609713581e-07	7.53765682892285e-07	3.84420498275065e-05	2.14533309746266e-06	2.19171867794834e-05	1.13064852433843e-05	2.07575472673414e-05	0.0043787987978481	1.25820887067404e-05	6.26205336556667e-06	1.25241067311333e-05	6.15768580947389e-05	0.000216388732965693	0.000671895133335061	0.00227347326355434	0.0242361179119137	0.0740786997472392	0.869985624528788	0	5.89096872168124e-05	5.79819756070988e-08	0.00024642339633017	4.9284679266034e-06	0.000206589779088093	1.15963951214198e-06	2.22650786331259e-05	3.53690051203303e-06	0.00117703410482411	4.9284679266034e-06	0.000274892546353256	0.00201504759827351	1.73945926821296e-07	5.21837780463889e-07	2.02936914624846e-06	6.37801731678087e-07	4.7545219997821e-06	1.66408269992374e-05	4.80090758026778e-05	0.000130343481164758	0.00063814962353173	2.31927902428395e-07	5.21837780463889e-07	0	5.79819756070988e-08	1.21762148774908e-06	2.02936914624846e-06	9.27711609713581e-07	2.09894751697698e-05	8.34940448742223e-06	7.88554868256544e-06	5.1024138534247e-05	1.85542321942716e-06	0.000109296024019381	3.577487894958e-05	0.014058483751624	3.94277434128272e-06	0.000271761519670472
P2	6.0754315126873e-08	2.43017260507492e-08	2.55168123532867e-07	4.86034521014984e-08	7.29051781522477e-08	4.86034521014984e-08	6.0754315126873e-08	6.19694014294105e-07	1.9332023073371e-05	1.10572853530909e-05	8.26258685725474e-07	1.05712508320759e-06	4.24065119585574e-06	2.43017260507492e-08	4.98185384040359e-07	7.92236269254425e-06	1.69018504682961e-05	1.73757341262857e-05	5.12037367889286e-05	9.48982402281757e-06	0.000133562286374918	7.39015489203284e-05	1.97573032792591e-05	0.000458063234330572	0.000415741778413192	6.0754315126873e-08	3.64525890761238e-08	1.09357767228371e-07	4.44964603989218e-05	3.67928132408343e-05	6.2504039402527e-05	2.43017260507492e-08	6.92599192446353e-07	1.28799148068971e-06	0	3.40224164710489e-07	1.01581214892132e-05	1.32444406976583e-06	0.00126196433208936	7.29051781522477e-07	1.94413808405994e-07	1.96843981011069e-06	3.62824769937686e-05	1.47754494388555e-05	0.000166527577762759	0.00494056520784337	0.00252284723736945	0.0157985642564551	0.968434111355928	0	1.53222382749974e-05	1.21508630253746e-08	8.6635653370921e-06	4.86034521014984e-08	6.91262597513562e-05	0	3.40224164710489e-07	1.09357767228371e-07	0.000245799808140303	4.86034521014984e-08	1.52979365489466e-05	0.000218788439634895	0	1.21508630253746e-08	9.72069042029969e-08	2.43017260507492e-08	7.29051781522477e-08	9.14959985810708e-06	1.50306175623884e-05	2.70964245465854e-05	0.000139018023873311	0	2.43017260507492e-08	0	0	0	3.39009078407952e-06	0	8.87013000852347e-07	7.04750055471727e-07	3.13492266054665e-06	4.86034521014984e-08	3.64525890761238e-08	3.19689206197606e-05	3.48729768828251e-06	0.000790340734622466	1.21508630253746e-08	0.0038234027104274
P3	0	1.67777307703045e-07	0	6.71109230812182e-08	6.71109230812182e-08	3.35554615406091e-08	1.00666384621827e-07	2.68443692324873e-07	4.36221000027918e-07	6.71109230812182e-07	2.24821592322081e-06	6.03998307730964e-07	1.67777307703045e-07	3.35554615406091e-07	6.71109230812182e-08	1.74488400011167e-06	1.24155207700254e-06	1.94621676935533e-06	8.08686623128679e-06	1.65763980010609e-05	1.98983886935812e-05	3.21461321559035e-05	3.37903497713934e-05	3.03341372327106e-05	6.43929306964288e-05	6.71109230812182e-08	3.01999153865482e-07	6.71109230812182e-08	4.59709823106344e-06	1.65092870779797e-05	2.39250440784543e-05	6.71109230812182e-08	0	1.04021930775888e-06	1.34221846162436e-07	1.77843946165228e-06	5.70442846190355e-07	5.70442846190355e-07	0.000254753064016304	1.67777307703045e-07	3.35554615406091e-07	4.02665538487309e-07	3.15421338481725e-06	1.20464106930787e-05	4.55683167721471e-05	0.000504439253339976	0.00141013471578256	0.000845329187131024	0.0370859658711427	0	6.30842676963451e-06	0	1.45295148470837e-05	2.34888230784264e-07	9.86530569293907e-06	3.35554615406091e-07	2.01332769243655e-06	4.36221000027918e-07	8.34859883130354e-05	2.68443692324873e-07	1.79521719242259e-05	0.000125765869854203	3.35554615406091e-08	0	7.382201538934e-07	0	2.01332769243655e-07	1.1073302308401e-06	3.62398984638578e-06	6.47620407733755e-06	4.37227663874136e-05	0	1.00666384621827e-07	0	0	1.34221846162436e-07	1.34221846162436e-07	1.00666384621827e-07	5.70442846190355e-07	1.1073302308401e-06	5.03331923109136e-07	2.01332769243655e-06	2.34888230784264e-07	6.67753684658121e-06	1.8455503847335e-06	3.13072456173883e-05	1.34221846162436e-07	0.959210719171389
P4	7.37954787062446e-07	1.01786867181027e-07	4.7076426071225e-06	1.56497308290829e-06	8.90635087833987e-08	8.90635087833987e-08	2.92637243145453e-07	5.34381052700392e-07	1.80671689246323e-05	1.00514531341264e-05	5.35653388540155e-06	1.45300752900916e-05	4.66947253192962e-06	1.14510225578655e-07	6.33623248201894e-06	8.63916035198968e-06	1.38430139366197e-05	2.05609471705675e-05	4.72927231639847e-05	2.98744455176315e-05	7.91774593084415e-05	6.98639609613775e-05	7.3884542215028e-05	0.0002371252304566	0.000272292593067645	2.03573734362054e-07	1.52680300771541e-07	1.01786867181027e-07	2.25585144389951e-05	4.35138857198891e-05	7.09327230667783e-05	3.81700751928852e-08	5.59827769495649e-07	2.45942517826157e-05	0	3.43530676735966e-07	8.33379975044659e-06	7.22686756985292e-06	0.00135315461230457	4.66947253192962e-06	8.14294937448217e-07	1.90850375964426e-07	8.51192676801339e-06	2.09935413560868e-05	0.000208803034663479	0.00464414032535994	0.00419435688264538	0.0379731430516067	0.86300732021885	0	1.49753928340086e-05	2.54467167952568e-08	1.35758234102695e-05	1.39956942373912e-07	0.000114192141618715	1.27233583976284e-08	4.19870827121737e-07	3.81700751928852e-08	0.000344993862951694	4.45317543916994e-07	2.4581528424218e-05	0.000340655197738102	0	0	8.90635087833987e-08	1.27233583976284e-08	4.58040902314622e-07	3.82973087768614e-06	1.6947513385641e-05	2.9034703863388e-05	0.000158685725935221	1.27233583976284e-08	0	0	1.27233583976284e-08	1.27233583976284e-08	2.32837458676599e-06	5.08934335905135e-08	1.05349407532363e-05	1.22144240617232e-06	3.88062431127666e-06	1.27233583976284e-07	7.63401503857703e-08	3.01543594023793e-05	6.99784711869561e-07	0.0857936056752082	2.54467167952568e-08	0.000579688931954347
P5	1.39651629957576e-06	2.3275271659596e-07	5.66364943716837e-06	9.18080159906289e-07	3.62059781371494e-07	1.939605971633e-07	3.49129074893941e-07	3.23267661938834e-07	3.71111275905781e-06	2.98699319631483e-06	1.31505284876718e-05	2.1684794762857e-05	2.19822010118407e-07	4.39644020236814e-07	6.36190758695625e-06	8.10755296142596e-06	2.37924999186982e-06	1.41074007670107e-05	1.4184985005876e-05	5.05332009142785e-05	0.000115135010476135	5.75675052380676e-05	0.000187857303705895	0.000173866279297182	8.29246206405497e-05	1.5516847773064e-07	3.36198368416387e-07	3.74990487849047e-07	3.1382824621022e-05	8.53426627518522e-05	6.72138122703224e-05	1.1637635829798e-07	1.81029890685747e-07	3.80162770440069e-05	1.939605971633e-07	3.19388449995568e-06	2.05598232993098e-06	1.05126643662509e-05	0.000886736127404699	2.60812349652251e-05	1.7197839615146e-06	1.331862767188e-06	1.20514184370797e-05	4.75591384244413e-05	0.00016240967335807	0.000139018025340176	0.0079434622962258	0.0723803148355482	0.915789976620636	1.29307064775534e-08	6.56879889059711e-06	1.29307064775534e-08	3.48094618375736e-05	5.04297552624581e-07	1.48703124491864e-05	2.45683423073514e-07	5.49555025296018e-06	1.42237771253087e-07	0.000342818890132895	1.77150678742481e-06	4.9563397928462e-05	0.00037138282074181	2.58614129551067e-08	3.87921194326601e-08	2.06891303640854e-07	5.17228259102134e-08	1.18962499593491e-06	2.41804211130248e-06	2.19175474794529e-05	2.31201031818654e-05	0.000223481400051555	0	5.17228259102134e-08	0	0	9.05149453428735e-08	7.75842388653202e-08	2.97406248983727e-07	1.71590474957133e-05	2.05598232993098e-06	8.27565214563415e-07	3.21974591291079e-06	4.39644020236814e-07	9.45234643509151e-06	2.6895869473311e-06	0.000153629723659811	2.58614129551067e-07	0.000314707534250694
