feature	Coprothermobacterota	Candidatus.Fervidibacteria	Nitrospinota	Chrysiogenota	Calditrichota	Caldisericota	Atribacterota	Thermodesulfobiota	Elusimicrobiota	Dictyoglomota	Synergistota	Nitrospirota	Candidatus.Absconditabacteria	Candidatus.Bipolaricaulota	Candidatus.Saccharibacteria	Aquificota	Deferribacterota	Bdellovibrionota	Thermotogota	Acidobacteriota	Thermodesulfobacteriota	Spirochaetota	Myxococcota	Fusobacteriota	Campylobacterota	Candidatus.Omnitrophota	Lentisphaerota	Kiritimatiellota	Verrucomicrobiota	Planctomycetota	Chlamydiota	Fibrobacterota	Candidatus.Cloacimonadota	Gemmatimonadota	Balneolota	Rhodothermota	Ignavibacteriota	Chlorobiota	Bacteroidota	Vulcanimicrobiota	Armatimonadota	Thermomicrobiota	Chloroflexota	Deinococcota	Cyanobacteriota	Mycoplasmatota	Actinomycetota	Bacillota	Pseudomonadota	Streptophyta	Evosea	Heterolobosea	Euglenozoa	Fornicata	Parabasalia	Cercozoa	Bacillariophyta	Ciliophora	Apicomplexa	Microsporidia	Basidiomycota	Ascomycota	Candidatus.Korarchaeota	Candidatus.Nanohaloarchaeota	Nanoarchaeota	Candidatus.Micrarchaeota	Candidatus.Lokiarchaeota	Candidatus.Thermoplasmatota	Nitrososphaerota	Thermoproteota	Euryarchaeota	Dividoviricota	Hofneiviricota	Saleviricota	Phixviricota	Taleaviricota	Duplornaviricota	Lenarviricota	Pisuviricota	Kitrinoviricota	Negarnaviricota	Artverviricota	Preplasmiviricota	Nucleocytoviricota	Peploviricota	Uroviricota	Cressdnaviricota	Cossaviricota
D1	-24.9724378780998	-26.2943659729871	-25.3003248027978	-24.3003248027978	-23.7153623020767	-22.9783967079105	-21.8408931841605	-21.7153623020767	-21.4929698807402	-20.8408931841605	-20.4929698807402	-20.0149225839356	-23.3003248027978	-23.3003248027978	-22.7153623020767	-19.6856149586826	-19.6856149586826	-17.0476593703476	-17.0429369601052	-16.7495780174146	-15.766995070492	-15.1092655882662	-15.0799464751026	-13.8230724788599	-13.6641533611619	-24.3003248027978	-21.8408931841605	-21.8408931841605	-17.9783967079105	-15.6367666985806	-13.8215551833221	-24.3003248027978	-22.1303998013555	-19.5998850846567	-24.3003248027978	-20.1303998013555	-19.9080073800191	-19.8084717064682	-12.0937682630591	-24.3003248027978	-21.9783967079105	-20.1710417858529	-18.417681753436	-16.5189650892732	-14.6059669155764	-11.0430843016813	-9.48286642386331	-8.62689149560404	-0.958074713620339	-27.2046236592161	-17.5454373006344	-25.3003248027978	-16.4548347518535	-18.160773450399	-16.8909338666601	-22.4929698807402	-18.7925301625991	-20.8408931841605	-13.1363607113856	-21.4929698807402	-15.64389993952	-12.9274597426852	-26.2046236592161	-25.3003248027978	-22.9783967079105	-22.4929698807402	-21.0523972893542	-19.0149225839356	-18.5998850846567	-16.9738953156755	-14.6600798665755	-27.2279452312363	-26.2943659729871	-25.8606814641003	-27.2279452312363	-22.4929698807402	-25.8606814641003	-25.3003248027978	-22.3003248027978	-21.4929698807402	-20.4423438076703	-19.5724043482346	-22.3003248027978	-17.5255377431967	-20.3003248027978	-15.011458728632	-24.3003248027978	-1.05936799472405
D2	-22.2619983735093	-22.8469608742304	-20.9400702786219	-24.8469608742304	-22.525032779343	-22.2619983735093	-22.525032779343	-23.8469608742304	-20.0920733720669	-19.6375075086015	-19.1465211560893	-18.9643178248686	-22.2619983735093	-23.8469608742304	-20.5990333607868	-19.9400702786219	-21.0396059521728	-18.4719214428835	-18.0140708600657	-17.5071108713458	-15.8357336188072	-16.5615586553682	-15.6620855313221	-15.4828262192224	-15.5272887532834	-23.2619983735093	-25.709403472266	-23.8469608742304	-18.0525450078803	-16.6972137547257	-13.1842924987129	-21.6770358727881	-25.8606814641003	-18.3875292555931	-24.8469608742304	-21.525032779343	-22.0396059521728	-19.5615586553682	-13.0116999556029	-18.1745355322589	-22.0396059521728	-21.8469608742304	-18.7594980329801	-17.7176778572854	-15.2563738243154	-14.1692412325894	-9.0088156738992	-5.69376760156264	-1.03933414691445	-27.2046236592161	-19.8469608742304	-27.2943659729871	-17.824593061202	-24.8469608742304	-17.824593061202	-23.8469608742304	-19.2322510301152	-24.8469608742304	-12.9336974436016	-22.0396059521728	-16.9952118328144	-13.220339221872	-24.8469608742304	-27.2943659729871	-24.8469608742304	-27.2279452312363	-23.2619983735093	-21.0396059521728	-17.8811765895683	-17.5990333607868	-15.2752082307269	-27.2279452312363	-26.2943659729871	-25.8606814641003	-27.2279452312363	-24.8469608742304	-25.8606814641003	-22.8469608742304	-19.802566754872	-22.0396059521728	-20.2031046844557	-20.4546434514516	-23.8469608742304	-18.6972137547257	-21.8469608742304	-11.8664642380469	-23.8469608742304	-1.02568319982614
D3	-24.9724378780998	-26.2943659729871	-26.3003248027978	-25.8469608742304	-22.0783358663798	-25.8288771582087	-23.0783358663798	-21.4933733656587	-22.4929698807402	-23.538753369213	-20.4933733656587	-20.7564077714925	-24.3003248027978	-26.2943659729871	-23.0783358663798	-20.7564077714925	-23.0783358663798	-19.7564077714925	-18.6860184436011	-16.3918353391966	-14.8786635215435	-16.3918353391966	-14.9034101838791	-15.9803037834193	-15.9803037834193	-25.3003248027978	-25.709403472266	-21.4933733656587	-17.9490528494349	-16.0449128648424	-14.6312526401702	-26.2943659729871	-25.8606814641003	-23.0783358663798	-25.8606814641003	-21.4933733656587	-23.0783358663798	-18.9908730251295	-12.8885113074998	-22.0783358663798	-23.0783358663798	-18.5547739103228	-16.7384858634952	-16.5084802580489	-15.2645546751628	-13.545006134074	-9.09382839903123	-9.30210847787256	-2.56009957715377	-27.2046236592161	-19.9084108649375	-27.2943659729871	-16.9084108649375	-23.0783358663798	-18.3234483642164	-23.0783358663798	-18.4344796766051	-22.0783358663798	-13.7860142335778	-23.0783358663798	-16.3368688799787	-13.6066606519878	-23.0783358663798	-27.2943659729871	-25.8469608742304	-27.2279452312363	-24.709403472266	-22.0396059521728	-19.2709809443222	-16.8885113074998	-13.9084108649375	-27.2279452312363	-26.2943659729871	-25.8606814641003	-23.0783358663798	-27.2279452312363	-25.8606814641003	-26.3003248027978	-23.3003248027978	-20.7564077714925	-21.9219865626002	-21.4933733656587	-23.0783358663798	-18.0783358663798	-21.4933733656587	-10.3666688928155	-27.2943659729871	-0.276563971052369
D4	-24.9724378780998	-26.2943659729871	-26.3003248027978	-25.8469608742304	-24.8288771582087	-25.8288771582087	-24.9724378780998	-24.8469608742304	-22.4929698807402	-23.538753369213	-23.183723812449	-23.183723812449	-24.3003248027978	-26.2943659729871	-24.8288771582087	-23.183723812449	-21.5987613117279	-21.183723812449	-22.183723812449	-21.5987613117279	-20.8617957175617	-19.8617957175617	-20.5987613117279	-18.7242921938118	-19.0137988110067	-25.3003248027978	-25.709403472266	-24.8469608742304	-22.183723812449	-20.8617957175617	-14.8891030635574	-26.2943659729871	-25.8606814641003	-24.0783358663798	-25.8606814641003	-22.525032779343	-24.0783358663798	-21.7414143169584	-16.2064438889491	-25.3003248027978	-24.0783358663798	-23.183723812449	-23.183723812449	-20.8617957175617	-17.9742704468201	-17.6918707161194	-11.3106642647876	-10.9666748988927	-10.2132583716691	-27.2046236592161	-22.183723812449	-27.2943659729871	-20.5987613117279	-25.8469608742304	-20.5987613117279	-27.2279452312363	-20.183723812449	-25.8469608742304	-17.7574590577469	-25.2943659729871	-18.2295275020622	-15.0596025006199	-26.2046236592161	-27.2943659729871	-25.8469608742304	-27.2279452312363	-24.709403472266	-22.0396059521728	-20.2709809443222	-22.183723812449	-19.2768332168405	-27.2279452312363	-26.2943659729871	-25.8606814641003	-27.2279452312363	-27.2279452312363	-25.8606814641003	-26.3003248027978	-23.3003248027978	-19.483284094308	-21.9219865626002	-23.183723812449	-23.183723812449	-23.183723812449	-22.8469608742304	-15.5326721212701	-27.2943659729871	-0.00269154609903351
D5	-20.6127539506568	-23.8606814641003	-18.401249845463	-20.538753369213	-22.0533265420427	-23.8606814641003	-21.538753369213	-21.401249845463	-20.2168252743256	-22.538753369213	-18.2607686219132	-17.0991302316559	-21.538753369213	-23.2757189633792	-18.2459716199851	-18.401249845463	-19.6512280984714	-16.9123142325157	-16.9537908684918	-15.8522528420298	-14.5695107647785	-14.774545239073	-14.1593750021417	-13.8529533494681	-13.7391479467603	-23.2757189633792	-22.2757189633792	-21.8606814641003	-16.4512905279626	-15.0373142240541	-13.9130445261485	-22.8606814641003	-24.8606814641003	-16.2459716199851	-24.8606814641003	-19.8606814641003	-18.9537908684918	-18.2313248440207	-11.2410346141121	-17.8162873447419	-20.77321862285	-20.3371195080433	-17.7417403913768	-15.8272584625629	-13.5933095328351	-11.2563599002231	-8.51944064356159	-6.56275318843367	-0.828974877536787	-27.2046236592161	-17.0214776760034	-24.8606814641003	-16.1259718438745	-22.2757189633792	-16.2060454355724	-22.0533265420427	-18.2024699813485	-20.1602417459592	-12.8766190944139	-20.77321862285	-15.6659246096781	-12.3376096371599	-26.2046236592161	-27.2943659729871	-21.401249845463	-22.2757189633792	-21.538753369213	-19.2757189633792	-18.2459716199851	-16.77321862285	-13.4705125079002	-27.2279452312363	-26.2943659729871	-24.8606814641003	-23.8606814641003	-23.2757189633792	-24.8606814641003	-24.8606814641003	-17.6415129436382	-19.690756462658	-20.690756462658	-18.7945922736426	-22.538753369213	-16.6857557815997	-20.2757189633792	-12.9522888433266	-21.690756462658	-1.24554612044347
P1	-20.3393805500903	-18.9954261488729	-17.8499957093514	-18.3393805500903	-18.3393805500903	-19.3959640784567	-18.5803886495941	-17.9737310777736	-16.7544180493691	-17.0511355814592	-14.4141114251669	-15.0230119805448	-18.3673949262599	-18.952357426981	-16.7544180493691	-15.2983532818302	-15.4929258083437	-14.3851842397034	-13.5192015876751	-12.6098905268781	-11.4902762299298	-11.0366537615662	-10.8438329702029	-9.66057729556132	-10.6167043580843	-20.717892173344	-17.8110015777355	-18.5803886495941	-13.2340763960798	-11.79724157878	-11.1484162715664	-20.0398202682314	-20.3393805500903	-14.6669552081188	-18.8303669026024	-15.4775778440103	-16.4324899544818	-15.5560044909671	-7.83524912398218	-16.2782690357869	-17.2849327660679	-16.2849327660679	-13.9872522174272	-12.1740869973796	-10.539476298961	-8.78088624682743	-5.3666975601783	-3.75479741359386	-0.200936532537921	-27.2046236592161	-14.0511355814592	-24.0398202682314	-11.986573142319	-17.6304293320937	-12.2409435000981	-19.717892173344	-15.4548577675102	-18.1090829306685	-9.73062816127148	-17.6304293320937	-11.828844590505	-8.95497036700954	-22.4548577675102	-20.8698952667891	-18.9105372512864	-20.5803886495941	-17.6822682636133	-15.8749133415557	-14.3463333107321	-12.9053939480105	-10.613817654902	-22.0398202682314	-20.8698952667891	-25.8606814641003	-24.0398202682314	-19.6475028454526	-18.9105372512864	-20.0398202682314	-15.5399743811482	-16.8698952667891	-16.952357426981	-14.2584605547067	-19.0398202682314	-13.1594714600754	-14.770693589082	-6.15241518583169	-17.952357426981	-11.8453711887524
P2	-23.9724378780998	-25.2943659729871	-21.9020485502084	-24.2943659729871	-23.709403472266	-24.2943659729871	-23.9724378780998	-20.6219406310156	-15.6586478526561	-16.4646432379011	-20.2069031317368	-19.8514224771384	-17.8472827467775	-25.2943659729871	-20.9368139683691	-16.9456378187561	-15.8524592684449	-15.8125665413214	-14.2533913741698	-16.6851872348452	-12.870199684169	-13.7240358719563	-15.6272544309121	-11.0921656075199	-11.2320246460665	-23.9724378780998	-24.709403472266	-23.1244409715448	-14.4559498971898	-14.7302164830014	-13.9656910456592	-25.2943659729871	-20.4614759588224	-19.5664455184239	-25.8606814641003	-21.4870110509295	-16.5870068409063	-19.5261816482102	-9.63011314981309	-20.3874753773786	-22.2943659729871	-18.9545159701025	-14.7503675228526	-16.0464384595436	-12.551951265274	-7.66110818700028	-8.630731433307	-5.9840627348033	-0.0462741983083423	-27.2046236592161	-15.9940134126589	-26.2943659729871	-16.8166077065433	-24.2943659729871	-13.8204066072924	-27.2279452312363	-21.4870110509295	-23.1244409715448	-11.9902285899379	-24.2943659729871	-15.9963034052681	-12.1581758686677	-26.2046236592161	-26.2943659729871	-23.2943659729871	-25.2943659729871	-23.709403472266	-16.7378599183152	-16.0217361880108	-15.1715379781795	-12.8124404371265	-27.2279452312363	-25.2943659729871	-25.8606814641003	-27.2279452312363	-27.2279452312363	-18.170244661158	-26.3003248027978	-20.1045414141071	-20.4363849778596	-18.2831387175639	-24.2943659729871	-24.709403472266	-14.9329704398213	-18.1294590463115	-10.3052376121207	-26.2943659729871	-8.03092712065527
P3	-24.9724378780998	-22.5069490633214	-26.3003248027978	-23.8288771582087	-23.8288771582087	-24.8288771582087	-23.2439146574876	-21.8288771582087	-21.1284374400676	-20.5069490633214	-18.762787967751	-20.6589521567664	-22.5069490633214	-21.5069490633214	-23.8288771582087	-19.1284374400676	-19.6194237925798	-18.9708961630812	-16.9159878219788	-15.8805099266241	-15.6169888636627	-14.9249953124726	-14.853029190202	-15.0086981957935	-13.9227381620134	-23.8288771582087	-21.6589521567664	-23.8288771582087	-17.7308450752482	-15.8863626528695	-15.3511188917649	-23.8288771582087	-25.8606814641003	-19.8746808478219	-22.8288771582087	-19.1009567036455	-20.7414143169584	-20.7414143169584	-11.9386128811876	-22.5069490633214	-21.5069490633214	-21.2439146574876	-18.2742883065311	-16.3410371243857	-14.421609393964	-10.953031835058	-9.46995128905402	-10.2081991160733	-4.75298284655579	-27.2046236592161	-17.2742883065311	-27.2943659729871	-16.070653943482	-22.0215222361511	-16.6292048133724	-21.5069490633214	-18.9219865626002	-21.1284374400676	-13.5481063880781	-21.8288771582087	-15.7654820769202	-12.9569719205496	-24.8288771582087	-27.2943659729871	-20.3694455395714	-27.2279452312363	-22.2439146574876	-19.7844830388503	-18.0739896560453	-17.2364201209407	-14.4812557896406	-27.2279452312363	-23.2439146574876	-25.8606814641003	-27.2279452312363	-22.8288771582087	-22.8288771582087	-23.2439146574876	-20.7414143169584	-19.7844830388503	-20.9219865626002	-18.9219865626002	-22.0215222361511	-17.1922525376651	-19.0475174446841	-14.963143887357	-22.8288771582087	-0.0600803139406909
P4	-20.3699642361087	-23.2279452312363	-17.69656377072	-19.2854307258971	-23.4205903091787	-23.4205903091787	-21.7043832751793	-20.8356278084575	-15.7562700168443	-16.6022363881718	-17.5102688081699	-16.0705982958735	-17.7083089783931	-23.058020229794	-17.2679432991682	-16.8206774669916	-16.140482389986	-15.5697337484845	-14.3680222583745	-15.0307285381263	-13.6245507003489	-13.805092035292	-13.7243679125336	-12.0420632037896	-11.8425546409794	-22.2279452312363	-22.6429827305152	-23.2279452312363	-15.4359684103376	-14.488164621463	-13.7831891415413	-24.6429827305152	-20.768513612599	-15.3113193090251	-25.8606814641003	-21.4730577290728	-16.8725941348115	-17.0781981117316	-9.52945759267861	-17.7083089783931	-20.2279452312363	-22.3210546356278	-16.8420828305948	-15.5396949221031	-12.2255696999111	-7.75037271994303	-7.89733466430586	-4.71887677345398	-0.212555298173	-27.2046236592161	-16.0270466261979	-25.2279452312363	-16.1686007704119	-22.768513612599	-13.0962490076385	-26.2279452312363	-21.1835511118779	-24.6429827305152	-11.5011416813337	-21.0986622142913	-15.3120658524005	-11.5194001598853	-26.2046236592161	-27.2943659729871	-23.4205903091787	-26.2279452312363	-21.058020229794	-17.9943255544766	-15.848566864165	-15.0718621549476	-12.6215400185385	-26.2279452312363	-26.2943659729871	-25.8606814641003	-26.2279452312363	-26.2279452312363	-18.7122453929523	-24.2279452312363	-16.534458273737	-19.6429827305152	-17.9752797987861	-22.9060171363489	-23.6429827305152	-15.0172738874507	-20.4465855177116	-3.54298606424614	-25.2279452312363	-10.7524334391622
P5	-19.4497361570526	-22.0346986577738	-17.4298365996149	-20.0548765397114	-21.3972687371585	-22.2977330636076	-21.4497361570526	-21.5607674694414	-18.0397167325404	-18.3528746178	-16.2145196953586	-15.4929566856517	-22.1171608179657	-21.1171608179657	-17.2621091538768	-16.912302026414	-18.6810617031591	-16.1131882728925	-16.1052758488129	-14.2724089072477	-13.0843857818741	-14.0843857818741	-12.3780751719252	-12.4897342249845	-13.5578399673783	-22.6196611584949	-21.504183941075	-21.3466426640885	-14.9596652660649	-13.5163733500829	-13.8608827407439	-23.0346986577738	-22.3972687371585	-14.6830232194924	-22.2977330636076	-18.2562564276314	-18.8917407039317	-16.5375121171411	-10.1392075245395	-15.2266282906031	-19.1493412237149	-19.5181231320329	-16.3404375145618	-14.3599178948041	-12.5880748154371	-12.8124404219037	-6.97601631648153	-3.78825880670235	-0.126911320178193	-26.2046236592161	-17.2159389724439	-26.2046236592161	-14.8101609646058	-20.9192214403538	-16.0372055133843	-21.9566961457725	-17.473304628191	-22.7451920405788	-11.5102657719946	-19.1065915762556	-14.3003653764156	-11.3948052982659	-25.2046236592161	-24.6196611584949	-22.2046236592161	-24.2046236592161	-19.6810617031591	-18.6577291993284	-15.4775541011924	-15.4004926380328	-12.1275576160157	-27.2279452312363	-24.2046236592161	-25.8606814641003	-27.2279452312363	-23.3972687371585	-23.6196611584949	-21.6810617031591	-15.8306710038459	-18.8917407039317	-20.2046236592161	-18.244621727148	-21.1171608179657	-16.6908960632636	-18.504183941075	-12.6682550096622	-21.8826955643287	-11.6337006616821
