feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Dialister.pneumosintes	Group	Vespertilio murinus	-5.28015387875912	0.590318100159677	10	7	1.93914836406286e-05	0.121574906684921
Shewanella.psychropiezotolerans	Group	Vespertilio murinus	-4.85042010091901	0.506418172308366	10	8	1.17015086531636e-05	0.121574906684921
Elusimicrobium.minutum	Group	Vespertilio murinus	-4.58924972755862	1.22976924900408	10	8	0.00577284442396064	0.137906547522486
Dictyoglomus.thermophilum	Group	Vespertilio murinus	-5.20364858290294	1.46499723287923	10	8	0.00748772185809042	0.137906547522486
Candidatus.Saccharimonas.aalborgensis	Group	Vespertilio murinus	-2.25256846381345	0.403608443591669	10	5	0.000521645840986101	0.137906547522486
Sulfurihydrogenibium.sp..YO3AOP1	Group	Vespertilio murinus	-4.08948400052032	0.919395401228915	10	9	0.00214495516642137	0.137906547522486
Mucispirillum.schaedleri	Group	Vespertilio murinus	-6.28330865354442	1.31331162225425	10	8	0.00138299228242043	0.137906547522486
Silvanigrella.aquatica	Group	Vespertilio murinus	-4.95477897648543	1.19106207134904	10	8	0.0031653589292843	0.137906547522486
Pigmentibacter.sp..JX0631	Group	Vespertilio murinus	-3.75631058027587	1.02569113079791	10	9	0.00638069028281369	0.137906547522486
Oceanotoga.sp..DSM.15011	Group	Vespertilio murinus	-5.32961158882219	1.41630688951937	10	9	0.00552032705976444	0.137906547522486
Tepiditoga.spiralis	Group	Vespertilio murinus	-3.52307414196047	1.03355899413661	10	8	0.00924111580916792	0.137906547522486
Chloracidobacterium.validum	Group	Vespertilio murinus	-3.2767426341845	0.863309529187134	10	7	0.00526989882585608	0.137906547522486
Desulfobulbus.oligotrophicus	Group	Vespertilio murinus	-3.54468119881564	0.863846563254186	10	6	0.00342180560777754	0.137906547522486
Syntrophotalea.acetylenica	Group	Vespertilio murinus	-2.3630064582947	0.630108177082554	10	6	0.00562294339566174	0.137906547522486
Geoalkalibacter.halelectricus	Group	Vespertilio murinus	-4.57912478391869	1.08046717490765	10	7	0.00284482844518995	0.137906547522486
Desulfuromonas.soudanensis	Group	Vespertilio murinus	-3.618350090772	1.06087657898062	10	8	0.00921337338442532	0.137906547522486
Geotalea.uraniireducens	Group	Vespertilio murinus	-3.81761628887194	1.0805894873916	10	8	0.00769928402420094	0.137906547522486
Geomonas.oryzisoli	Group	Vespertilio murinus	-3.30615840407467	0.972676308410509	10	7	0.00937386891206856	0.137906547522486
Desulfomicrobium.orale	Group	Vespertilio murinus	-4.22676388306683	1.20042247305488	10	8	0.0078337042828397	0.137906547522486
Solidesulfovibrio.magneticus	Group	Vespertilio murinus	-3.82458234581745	1.06865504673588	10	8	0.00720005266709682	0.137906547522486
Desulfolutivibrio.sulfoxidireducens	Group	Vespertilio murinus	-4.76240488938252	1.08808914164114	10	8	0.0023587174366388	0.137906547522486
Desulfovibrio.sp..G11	Group	Vespertilio murinus	-4.03541308296509	1.02695891564482	10	8	0.00435987964513384	0.137906547522486
Desulfovibrio.piger	Group	Vespertilio murinus	-4.6855287724415	1.19736428124802	10	10	0.00446088179666035	0.137906547522486
Leptospira.biflexa	Group	Vespertilio murinus	-4.36268937385932	1.00562551060866	10	8	0.00248411598744051	0.137906547522486
Leptospira.noguchii	Group	Vespertilio murinus	-4.43579860463063	1.10187947803933	10	9	0.00381097384928366	0.137906547522486
Brachyspira.hyodysenteriae	Group	Vespertilio murinus	-3.60839972230535	1.05963464790693	10	9	0.00928708275681081	0.137906547522486
Gracilinema.caldarium	Group	Vespertilio murinus	-4.11116730060014	1.11061498764696	10	8	0.00602782001009501	0.137906547522486
Borrelia.coriaceae	Group	Vespertilio murinus	-6.25121904156276	1.50366525838937	10	7	0.00317687530943363	0.137906547522486
Borrelia.turcica	Group	Vespertilio murinus	-2.98919140336085	0.867827395262038	10	8	0.00876610032443771	0.137906547522486
Borrelia.sp..HM	Group	Vespertilio murinus	-6.04802646098438	1.36154002048323	10	8	0.00216204496731159	0.137906547522486
Borreliella.burgdorferi	Group	Vespertilio murinus	-6.40997045889834	1.40460146337023	10	8	0.00184130438378879	0.137906547522486
Borreliella.turdi	Group	Vespertilio murinus	-4.18925752697369	1.17551355346133	10	8	0.00736019096279527	0.137906547522486
Treponema.socranskii	Group	Vespertilio murinus	-3.30916956802277	0.834440330932069	10	7	0.00414360333236645	0.137906547522486
Sneathia.vaginalis	Group	Vespertilio murinus	-5.477792461615	1.49494395795363	10	8	0.00636239830912368	0.137906547522486
Streptobacillus.moniliformis	Group	Vespertilio murinus	-4.85301151122538	1.19499500628144	10	10	0.00362782871307665	0.137906547522486
Leptotrichia.hofstadii	Group	Vespertilio murinus	-4.59091171026535	1.22648263991653	10	8	0.00567965068236179	0.137906547522486
Leptotrichia.wadei	Group	Vespertilio murinus	-4.09964630948465	1.17871098368295	10	9	0.00834316884039234	0.137906547522486
Leptotrichia.sp..oral.taxon.212	Group	Vespertilio murinus	-3.12661931985215	0.820378959385854	10	8	0.00515390593181169	0.137906547522486
Leptotrichia.sp..HMT.225	Group	Vespertilio murinus	-4.49628879082965	1.03651642585728	10	8	0.00248545229301037	0.137906547522486
Leptotrichia.sp..oral.taxon.218	Group	Vespertilio murinus	-4.89684301357787	1.44160339377661	10	8	0.00940482432735441	0.137906547522486
Ilyobacter.polytropus	Group	Vespertilio murinus	-3.91510510314861	1.06310645906654	10	9	0.00619497706734314	0.137906547522486
Nitratiruptor.sp..YY09.18	Group	Vespertilio murinus	-3.78184098271679	1.00382508305698	10	5	0.0054857499788418	0.137906547522486
Hydrogenimonas.thermophila	Group	Vespertilio murinus	-5.33204954160936	1.18291105506243	10	8	0.00198217484619397	0.137906547522486
Sulfurovum.lithotrophicum	Group	Vespertilio murinus	-3.51748437029871	0.819504340751143	10	6	0.00264345498834196	0.137906547522486
Candidatus.Sulfurimonas.baltica	Group	Vespertilio murinus	-3.35693796537185	0.733659333870582	10	8	0.00181240991450505	0.137906547522486
Sulfurimonas.marina	Group	Vespertilio murinus	-4.88709875089665	1.22597328647356	10	9	0.00402607062124245	0.137906547522486
Sulfurimonas.gotlandica	Group	Vespertilio murinus	-4.33979370009599	1.01241060499725	10	9	0.00266361659338972	0.137906547522486
uncultured.Sulfurimonas.sp.	Group	Vespertilio murinus	-4.27235284877753	1.15755969247082	10	8	0.00612290503017222	0.137906547522486
Sulfurimonas.autotrophica	Group	Vespertilio murinus	-5.24378379563314	1.11259572987306	10	8	0.00151558201735438	0.137906547522486
Sulfurimonas.sp.	Group	Vespertilio murinus	-4.53148664694041	0.961986827298351	10	7	0.00152059569531796	0.137906547522486
Helicobacter.hepaticus	Group	Vespertilio murinus	-3.5403564316152	0.803849726299682	10	6	0.00227379836302059	0.137906547522486
Helicobacter.cholecystus	Group	Vespertilio murinus	-3.98099001480666	1.02734972294597	10	7	0.00470787620497639	0.137906547522486
Helicobacter.winghamensis	Group	Vespertilio murinus	-4.0185596810267	1.13069147610401	10	8	0.0074649584603408	0.137906547522486
Helicobacter.bilis	Group	Vespertilio murinus	-5.36857502725452	1.23640173048569	10	7	0.00247140711910086	0.137906547522486
Campylobacter.avium	Group	Vespertilio murinus	-5.67421197750326	1.33296196634583	10	7	0.00277324597519547	0.137906547522486
Campylobacter.cuniculorum	Group	Vespertilio murinus	-3.11586113536266	0.814589026038856	10	8	0.00505317051476182	0.137906547522486
Campylobacter.iguaniorum	Group	Vespertilio murinus	-4.46748062320164	0.953117002251745	10	8	0.00156713153328922	0.137906547522486
Campylobacter.pinnipediorum	Group	Vespertilio murinus	-4.40640099197916	0.795014727546958	10	8	0.000545729938852975	0.137906547522486
Campylobacter.hepaticus	Group	Vespertilio murinus	-5.18408383335244	1.11116904803707	10	9	0.00161204209517623	0.137906547522486
Campylobacter.blaseri	Group	Vespertilio murinus	-4.80131798594069	1.19572411937185	10	8	0.00386581804465989	0.137906547522486
Campylobacter.hyointestinalis	Group	Vespertilio murinus	-2.87198880983295	0.833471496265698	10	8	0.00874854064114847	0.137906547522486
Campylobacter.corcagiensis	Group	Vespertilio murinus	-4.23288675261573	1.19641066586312	10	8	0.00764228034158577	0.137906547522486
Campylobacter.ureolyticus	Group	Vespertilio murinus	-3.57879515800883	0.986473763924135	10	9	0.00670572149661814	0.137906547522486
