#Classification	D1	D2	D3	D4	D5	P1	P2	P3	P4	P5
Coprothermobacteria	0	6	0	0	19	13	5	0	58	108
Nitrospinia	1	15	0	0	88	73	21	0	370	438
Chrysiogenetes	2	1	0	0	20	52	4	2	123	71
Calditrichia	3	5	2	0	7	52	6	2	7	28
Caldisericia	5	6	0	0	2	25	4	1	7	15
Atribacteria	11	5	1	0	10	44	5	3	23	27
Thermodesulfobiia	12	2	3	0	11	67	51	8	42	25
Elusimicrobia	2	2	0	0	2	36	198	2	188	23
Endomicrobiia	12	25	0	0	23	120	1393	11	1232	264
Dictyoglomia	22	37	0	0	5	127	910	20	790	231
Deltaproteobacteria	23	7	18	0	24	261	19	44	43	143
Synergistia	28	52	6	1	97	790	68	67	421	1017
Thermodesulfovibrionia	11	5	2	0	11	154	23	4	9	62
Nitrospiria	28	54	3	1	206	364	64	14	1133	1615
Candidatus Saccharimonadia	5	18	0	0	94	107	30	1	493	463
Candidatus Babeliae	25	4	8	1	23	87	460	16	411	43
Aquificae	49	30	5	1	88	428	652	52	679	627
Deferribacteres	49	14	1	3	37	374	1391	37	1088	184
Oligoflexia	43	36	1	0	114	352	1051	25	1206	731
Bdellovibrionia	64	20	8	4	97	303	351	17	373	269
Bacteriovoracia	198	27	1	0	36	150	28	16	36	91
Thermotogae	306	114	21	2	240	1469	4214	241	3717	1097
Blastocatellia	18	3	8	0	10	114	8	14	26	68
Vicinamibacteria	41	12	14	0	19	352	18	69	43	310
Holophagae	144	30	34	1	114	1152	116	232	153	907
Terriglobia	171	116	47	2	372	1141	639	179	2126	2623
Syntrophia	0	0	0	0	2	21	8	0	5	13
Desulfomonilia	2	9	1	0	21	31	7	2	41	229
Candidatus Desulfofervidia	2	0	1	1	4	28	6	6	5	19
Syntrophobacteria	5	3	2	0	2	60	8	5	5	35
Desulfobaccia	8	2	0	0	20	16	1	3	1	8
Thermodesulfobacteria	21	8	1	0	91	159	23	12	133	125
Desulfarculia	27	27	16	0	55	86	25	12	62	380
Desulfobulbia	36	13	10	0	51	529	600	42	111	347
Desulfobacteria	129	108	26	2	375	1331	2150	132	2175	1829
Desulfuromonadia	204	44	75	0	173	1297	972	159	599	1160
Desulfovibrionia	301	302	154	2	451	2423	7187	218	3082	4744
Spirochaetia	1169	312	103	10	1087	8210	6082	958	5491	4452
Myxococcia	751	319	207	5	809	5874	725	659	2419	8400
Fusobacteriia	2851	659	137	22	2059	21310	37698	904	18637	13446
Desulfurellia	9	0	1	0	3	43	3	1	3	8
Epsilonproteobacteria	3174	639	136	18	2225	10941	34212	1918	21398	6405
Lentisphaeria	11	0	0	0	6	75	3	9	12	26
Tichowtungiia	2	0	0	0	3	27	2	0	1	12
Kiritimatiellia	9	2	3	0	5	17	7	2	7	17
Spartobacteria	0	0	0	0	0	5	1	1	2	0
Methylacidiphilae	20	1	15	0	32	68	4	11	8	40
Opitutae	57	46	5	1	74	594	1532	46	922	938
Verrucomicrobiae	79	63	15	1	228	1043	2120	73	829	1420
Candidatus Brocadiia	3	5	0	0	5	62	10	9	6	78
Phycisphaerae	33	18	6	0	76	513	77	46	472	455
Candidatus Uabimicrobiia	272	3	0	0	13	108	19	8	27	46
Planctomycetia	503	257	125	5	811	4154	2921	428	2915	6016
Chlamydiia	2854	3242	349	314	1975	7598	5144	713	5575	5198
Fibrobacteria	2	9	0	0	4	16	2	2	3	9
Candidatus Cloacimonadia	9	0	0	0	1	13	57	0	44	14
Gemmatimonadetes	52	88	1	0	392	663	106	31	1933	2940
Balneolia	2	1	0	0	1	37	0	4	0	15
Rhodothermia	36	10	3	0	32	378	28	53	27	247
Ignavibacteria	42	7	1	0	60	195	836	17	655	159
Chlorobiia	45	39	17	0	99	358	109	17	568	813
Saprospiria	61	29	9	1	81	663	1078	40	1056	541
Chitinophagia	302	168	48	12	547	4276	5550	352	8268	4023
Sphingobacteriia	562	271	91	6	1104	8666	5678	404	5350	3497
Cytophagia	1004	514	234	13	1936	9452	9613	881	10900	12298
Bacteroidia	1288	656	257	13	2052	8923	6818	894	10546	14415
Flavobacteriia	6074	1947	499	81	6759	42913	71773	4919	67350	33122
Vulcanimicrobiia	2	102	2	0	132	217	60	5	367	2017
Chthonomonadetes	1	0	0	0	2	8	2	1	4	6
Fimbriimonadia	3	2	0	0	4	24	7	3	5	19
Armatimonadia	6	5	1	0	11	76	7	6	55	108
Thermomicrobia	35	8	23	1	23	216	162	12	15	103
Candidatus Thermofonsia	0	2	0	0	3	36	12	2	7	12
Ktedonobacteria	2	9	5	0	2	62	405	3	39	35
Anaerolineae	4	5	3	1	40	105	9	9	321	230
Caldilineae	5	3	0	0	6	85	910	4	47	52
Ardenticatenia	10	13	0	0	5	137	880	14	43	102
Tepidiformia	12	10	4	0	16	269	244	31	35	137
Thermoflexia	12	1	0	0	6	114	4	11	8	58
Chloroflexia	27	17	19	0	31	102	501	11	69	112
Dehalococcoidia	42	3	50	0	21	96	16	6	11	70
Deinococci	440	140	95	5	524	3732	1216	359	1650	3678
Cyanophyceae	1622	764	223	34	2439	11371	13430	1324	15806	12443
Candidatus Izimaplasma	56	5	3	0	45	207	1458	60	1305	29
Mollicutes	5147	833	401	29	3629	17220	125530	4092	127061	6491
