#Classification	D1	D2	D3	D4	D5	P1	P2	P3	P4	P5
Coprothermobacteraceae	0	6	0	0	19	13	5	0	58	108
Nitrospinaceae	1	15	0	0	88	73	21	0	370	438
Chrysiogenaceae	2	1	0	0	20	52	4	2	123	71
Calditrichaceae	3	5	2	0	7	52	6	2	7	28
Caldisericaceae	5	6	0	0	2	25	4	1	7	15
Atribacteraceae	11	5	1	0	10	44	5	3	23	27
Thermodesulfobiaceae	12	2	3	0	11	67	51	8	42	25
Elusimicrobiaceae	2	2	0	0	2	36	198	2	188	23
Endomicrobiaceae	12	25	0	0	23	120	1393	11	1232	264
Dictyoglomaceae	22	37	0	0	5	127	910	20	790	231
Microvenatoraceae	4	1	0	0	3	11	0	2	4	10
Bradymonadaceae	17	5	18	0	18	232	19	38	37	129
Thermovirgaceae	0	0	0	0	2	15	1	3	3	15
Acetomicrobiaceae	1	1	0	0	0	6	1	1	3	7
Dethiosulfovibrionaceae	4	3	3	0	34	49	6	7	20	64
Aminobacteriaceae	4	13	2	0	4	77	16	7	72	254
Aminithiophilaceae	5	2	1	0	3	34	14	4	7	22
Synergistaceae	14	33	0	1	54	609	30	45	316	654
Thermodesulfovibrionaceae	4	0	2	0	6	75	21	1	4	39
Dissulfurispiraceae	7	5	0	0	5	79	2	3	5	23
Nitrospiraceae	28	54	3	1	206	364	64	14	1133	1615
Candidatus Chazhemtobacteraceae	3	1	0	0	1	10	0	1	0	5
Candidatus Absconditicoccaceae	4	6	0	0	10	51	349	5	367	17
Candidatus Saccharimonadaceae	0	0	0	0	0	1	4	1	1	3
Candidatus Nanosynbacteraceae	5	18	0	0	94	106	25	0	492	460
Candidatus Babeliaceae	6	1	2	0	7	72	453	7	407	21
Candidatus Chromulinivoraceae	19	3	6	1	16	15	7	9	4	22
Desulfurobacteriaceae	10	1	1	1	6	81	7	11	8	43
Aquificaceae	10	16	0	0	45	239	21	12	189	396
Hydrogenothermaceae	28	11	4	0	36	94	624	29	482	185
Geovibrionaceae	1	3	0	0	4	41	4	6	10	16
Flexistipitaceae	7	3	0	0	6	60	392	3	305	29
Calditerrivibrionaceae	8	2	1	0	7	21	53	1	46	10
Deferribacteraceae	15	5	0	3	17	107	119	11	55	44
Mucispirillaceae	18	1	0	0	3	145	822	16	672	81
Silvanigrellaceae	43	36	1	0	114	352	1051	25	1206	731
