#Classification	D1	D2	D3	D4	D5	P1	P2	P3	P4	P5
Coprothermobacter	0	6	0	0	19	13	5	0	58	108
Candidatus Fervidibacter	0	4	0	0	2	33	2	5	8	18
Nitrospina	1	15	0	0	88	73	21	0	370	438
Desulfurispirillum	2	1	0	0	20	52	4	2	123	71
Caldithrix	3	5	2	0	7	52	6	2	7	28
Caldisericum	5	6	0	0	2	25	4	1	7	15
Atribacter	11	5	1	0	10	44	5	3	23	27
Thermodesulfobium	12	2	3	0	11	67	51	8	42	25
Elusimicrobium	2	2	0	0	2	36	198	2	188	23
Endomicrobium	12	25	0	0	23	120	1393	11	1232	264
Dictyoglomus	22	37	0	0	5	127	910	20	790	231
Dissulfurimicrobium	2	1	0	0	3	18	0	4	2	4
Microvenator	4	1	0	0	3	11	0	2	4	10
Persicimonas	6	1	7	0	5	165	16	31	25	88
Bradymonas	11	4	11	0	13	67	3	7	12	41
Thermovirga	0	0	0	0	2	15	1	3	3	15
Acetomicrobium	1	1	0	0	0	6	1	1	3	7
Jonquetella	0	0	0	0	0	4	0	0	1	4
Dethiosulfovibrio	1	1	0	0	0	14	1	0	7	11
Pyramidobacter	3	2	3	0	34	31	5	7	11	49
Aminobacterium	1	0	0	0	2	34	2	4	4	22
Fretibacterium	3	13	2	0	2	43	14	3	68	232
Aminithiophilus	5	2	1	0	3	34	14	4	7	22
Cloacibacillus	1	24	0	0	35	450	23	35	305	587
Aminomonas	5	4	0	0	6	93	6	6	8	34
Thermanaerovibrio	8	5	0	1	13	66	1	4	3	33
Thermodesulfovibrio	4	0	2	0	6	75	21	1	4	39
Dissulfurispira	7	5	0	0	5	79	2	3	5	23
Leptospirillum	3	2	0	0	5	51	3	6	6	26
Nitrospira	25	52	3	1	201	313	61	8	1125	1589
Chazhemtobacterium	3	1	0	0	1	10	0	1	0	5
Candidatus Absconditicoccus	4	6	0	0	10	51	349	5	367	17
Bipolaricaulis	4	2	0	0	3	34	2	10	9	34
Candidatus Minimicrobia	0	0	0	0	0	2	0	0	1	0
Candidatus Mycosynbacter	1	1	0	0	2	45	6	1	2	25
Saccharimonas	0	0	0	0	0	1	4	1	1	3
Nanosynbacter	5	18	0	0	94	106	25	0	492	460
Babela	6	1	2	0	7	72	453	7	407	21
Candidatus Chromulinivorax	19	3	6	1	16	15	7	9	4	22
Thermovibrio	1	0	1	0	0	22	3	2	3	16
Desulfurobacterium	8	1	0	1	4	59	4	9	2	23
Thermosulfidibacter	1	2	0	0	0	14	0	0	0	3
Aquifex	0	0	0	0	2	13	1	2	0	2
