#Classification	D1	D2	D3	D4	D5	P1	P2	P3	P4	P5
Coprothermobacterales	0	6	0	0	19	13	5	0	58	108
Nitrospinales	1	15	0	0	88	73	21	0	370	438
Chrysiogenales	2	1	0	0	20	52	4	2	123	71
Calditrichales	3	5	2	0	7	52	6	2	7	28
Caldisericales	5	6	0	0	2	25	4	1	7	15
Atribacterales	11	5	1	0	10	44	5	3	23	27
Thermodesulfobiales	12	2	3	0	11	67	51	8	42	25
Elusimicrobiales	2	2	0	0	2	36	198	2	188	23
Endomicrobiales	12	25	0	0	23	120	1393	11	1232	264
Dictyoglomales	22	37	0	0	5	127	910	20	790	231
Bradymonadales	21	6	18	0	21	243	19	40	41	139
Synergistales	28	52	6	1	97	790	68	67	421	1017
Thermodesulfovibrionales	11	5	2	0	11	154	23	4	9	62
Nitrospirales	28	54	3	1	206	364	64	14	1133	1615
Candidatus Absconditabacterales	4	6	0	0	10	51	349	5	367	17
Candidatus Saccharimonadales	0	0	0	0	0	1	4	1	1	3
Candidatus Nanosynbacterales	5	18	0	0	94	106	25	0	492	460
Candidatus Babeliales	25	4	8	1	23	87	460	16	411	43
Desulfurobacteriales	10	1	1	1	6	81	7	11	8	43
Aquificales	39	29	4	0	82	347	645	41	671	584
Deferribacterales	49	14	1	3	37	374	1391	37	1088	184
Silvanigrellales	43	36	1	0	114	352	1051	25	1206	731
Bdellovibrionales	64	20	8	4	97	303	351	17	373	269
Bacteriovoracales	198	27	1	0	36	150	28	16	36	91
Mesoaciditogales	2	4	0	0	2	8	3	7	1	4
Kosmotogales	5	3	5	1	25	56	8	3	5	37
Thermotogales	115	14	2	1	95	382	581	114	447	342
Petrotogales	184	93	14	0	118	1023	3620	117	3263	713
Vicinamibacterales	41	12	14	0	19	352	18	69	43	310
Thermotomaculales	5	0	1	1	9	30	4	8	4	14
Acanthopleuribacterales	23	4	16	0	18	70	12	118	15	75
Holophagales	116	26	17	0	87	1052	100	106	134	818
Bryobacterales	29	8	16	0	52	235	29	125	177	225
Terriglobales	142	108	31	2	320	906	610	54	1949	2398
Syntrophales	0	0	0	0	2	21	8	0	5	13
Desulfomonilales	2	9	1	0	21	31	7	2	41	229
Candidatus Desulfofervidales	2	0	1	1	4	28	6	6	5	19
Syntrophobacterales	5	3	2	0	2	60	8	5	5	35
Desulfobaccales	8	2	0	0	20	16	1	3	1	8
Thermodesulfobacteriales	21	8	1	0	91	159	23	12	133	125
Desulfarculales	27	27	16	0	55	86	25	12	62	380
Desulfobulbales	36	13	10	0	51	529	600	42	111	347
Desulfobacterales	129	108	26	2	375	1331	2150	132	2175	1829
Desulfuromonadales	75	11	54	0	69	621	651	50	290	527
Geobacterales	129	33	21	0	104	675	321	109	309	627
Desulfovibrionales	301	302	154	2	451	2423	7187	218	3082	4744
Brevinematales	0	0	0	0	2	34	4	1	3	15
Leptospirales	104	50	7	0	109	733	610	101	551	368
Brachyspirales	180	41	10	2	131	713	699	104	535	456
Spirochaetales	885	221	86	8	845	6729	4769	752	4400	3613
Haliangiales	55	6	1	0	29	274	17	35	61	196
Nannocystales	93	47	22	1	174	392	74	35	599	935
Polyangiales	288	210	59	0	645	2822	805	272	2721	4972
Myxococcales	751	319	207	5	809	5874	725	659	2419	8400
Fusobacteriales	2851	659	137	22	2059	21310	37698	904	18637	13446
Desulfurellales	9	0	1	0	3	43	3	1	3	8
Nautiliales	130	14	16	0	152	450	132	81	135	256
Campylobacterales	3023	621	120	18	2072	10466	33717	1834	21026	6142
Lentisphaerales	11	0	0	0	6	75	3	9	12	26
Tichowtungiales	2	0	0	0	3	27	2	0	1	12
Kiritimatiellales	9	2	3	0	5	17	7	2	7	17
Methylacidiphilales	20	1	15	0	32	68	4	11	8	40
Puniceicoccales	14	11	1	1	14	188	1167	14	427	86
Opitutales	43	35	4	0	60	406	365	32	495	852
Limisphaerales	10	15	0	0	74	152	25	0	311	582
Verrucomicrobiales	69	48	15	1	154	891	2095	73	518	838
Candidatus Brocadiales	3	5	0	0	5	62	10	9	6	78
Tepidisphaerales	5	3	0	0	5	76	13	5	15	56
Sedimentisphaerales	10	4	2	0	15	96	40	8	75	78
Phycisphaerales	18	11	4	0	56	341	24	33	382	321
Candidatus Uabimicrobiales	272	3	0	0	13	108	19	8	27	46
Isosphaerales	102	61	19	0	166	842	153	91	668	1313
Gemmatales	116	32	31	2	102	828	164	105	210	707
Pirellulales	118	84	33	0	254	1085	974	82	1404	2373
Planctomycetales	158	75	41	3	287	1388	1620	147	630	1595
Parachlamydiales	200	12	18	0	72	223	404	16	317	112
Chlamydiales	2599	3230	331	314	1903	7375	4740	697	5258	5086
Fibrobacterales	2	9	0	0	4	16	2	2	3	9
Candidatus Cloacimonadales	9	0	0	0	1	13	57	0	44	14
Gemmatimonadales	52	88	1	0	392	663	106	31	1933	2940
Balneolales	2	1	0	0	1	37	0	4	0	15
Rhodothermales	36	10	3	0	32	378	28	53	27	247
Ignavibacteriales	42	7	1	0	60	195	836	17	655	159
Chlorobiales	45	39	17	0	99	358	109	17	568	813
Candidatus Sulfidibacteriales	14	8	5	0	5	25	3	4	2	18
Saprospirales	61	29	9	1	81	663	1078	40	1056	541
Chitinophagales	302	168	48	12	547	4276	5550	352	8268	4023
Sphingobacteriales	562	271	91	6	1104	8666	5678	404	5350	3497
