#Classification	D1	D2	D3	D4	D5	P1	P2	P3	P4	P5
Coprothermobacterota	0	6	0	0	19	13	5	0	58	108
Candidatus Fervidibacteria	0	4	0	0	2	33	2	5	8	18
Nitrospinota	1	15	0	0	88	73	21	0	370	438
Chrysiogenota	2	1	0	0	20	52	4	2	123	71
Calditrichota	3	5	2	0	7	52	6	2	7	28
Caldisericota	5	6	0	0	2	25	4	1	7	15
Atribacterota	11	5	1	0	10	44	5	3	23	27
Thermodesulfobiota	12	2	3	0	11	67	51	8	42	25
Elusimicrobiota	14	27	0	0	25	156	1591	13	1420	287
Dictyoglomota	22	37	0	0	5	127	910	20	790	231
Synergistota	28	52	6	1	97	790	68	67	421	1017
Nitrospirota	39	59	5	1	217	518	87	18	1142	1677
Candidatus Absconditabacteria	4	6	0	0	10	51	349	5	367	17
Candidatus Bipolaricaulota	4	2	0	0	3	34	2	10	9	34
Candidatus Saccharibacteria	6	19	1	0	98	156	41	2	498	492
Aquificota	49	30	5	1	88	428	652	52	679	627
Deferribacterota	49	14	1	3	37	374	1391	37	1088	184
Bdellovibrionota	305	83	10	4	247	806	1430	58	1616	1091
Thermotogota	306	114	21	2	240	1469	4214	241	3717	1097
Acidobacteriota	375	162	103	3	515	2759	781	494	2348	3908
Thermodesulfobacteriota	741	516	294	5	1253	5995	10992	593	6223	8904
Spirochaetota	1169	312	103	10	1087	8210	6082	958	5491	4452
Myxococcota	1193	582	289	6	1665	9384	1626	1007	5807	14528
Fusobacteriota	2851	659	137	22	2059	21310	37698	904	18637	13446
Campylobacterota	3183	639	137	18	2228	10984	34215	1919	21401	6413
Candidatus Omnitrophota	2	3	0	0	3	10	5	2	16	12
Lentisphaerota	11	0	0	0	6	75	3	9	12	26
Kiritimatiellota	11	2	3	0	8	44	9	2	8	29
Verrucomicrobiota	160	111	35	2	340	1790	3662	137	1773	2427
Planctomycetota	811	284	131	5	906	4846	3028	492	3420	6600
Chlamydiota	2854	3242	349	314	1975	7598	5144	713	5575	5198
Fibrobacterota	2	9	0	0	4	16	2	2	3	9
Candidatus Cloacimonadota	9	0	0	0	1	13	57	0	44	14
Gemmatimonadota	52	88	1	0	392	663	106	31	1933	2940
Balneolota	2	1	0	0	1	37	0	4	0	15
Rhodothermota	36	10	3	0	32	378	28	53	27	247
Ignavibacteriota	42	7	1	0	60	195	836	17	655	159
Chlorobiota	45	39	17	0	99	358	109	17	568	813
Bacteroidota	9453	3654	1168	126	12587	75520	103858	7592	106352	68576
Vulcanimicrobiota	2	102	2	0	132	217	60	5	367	2017
Armatimonadota	10	7	1	0	17	108	16	10	64	133
Thermomicrobiota	35	8	23	1	23	216	162	12	15	103
Chloroflexota	118	68	81	1	139	1062	2986	94	669	932
Deinococcota	440	140	95	5	524	3732	1216	359	1650	3678
Cyanobacteriota	1657	771	225	37	2465	11588	13705	1358	16411	12560
Mycoplasmatota	19582	1638	741	45	12454	39210	406602	15033	365009	10751
Actinomycetota	57747	58581	16209	3751	83024	417994	207627	42024	329658	614310
Bacillota	104521	583023	14030	4761	322274	1277616	1300201	25192	2984522	5597553
Pseudomonadota	21269018	14682830	1501774	8026	17150016	15004415	79700850	1105214	67828579	70822888
Streptophyta	0	0	0	0	0	0	0	0	0	1
Evosea	216	32	9	2	229	1016	1261	188	1177	508
Heterolobosea	1	0	0	0	1	1	1	0	2	1
Euglenozoa	460	130	72	6	426	4250	713	433	1067	2692
Fornicata	141	1	1	0	6	85	4	7	11	39
Parabasalia	340	130	27	6	403	3563	5689	294	8975	1150
Cercozoa	7	2	1	0	7	20	0	10	1	19
Bacillariophyta	91	49	25	8	101	384	28	60	33	425
Ciliophora	22	1	2	0	26	61	9	13	3	11
Apicomplexa	4589	3857	627	43	4051	20300	20229	2488	27115	26512
Microsporidia	14	7	1	0	17	85	4	8	35	137
Basidiomycota	807	231	107	31	586	4741	1259	535	1932	3833
Ascomycota	5304	3162	710	279	5886	34753	18006	3748	26774	28721
Candidatus Korarchaeota	0	1	1	0	0	3	0	1	0	2
Candidatus Nanohaloarchaeota	1	0	0	0	0	9	1	0	0	3
Nanoarchaeota	5	1	0	0	11	35	8	22	7	16
Candidatus Micrarchaeota	7	0	0	0	6	11	2	0	1	4
Candidatus Lokiarchaeota	19	3	0	0	10	82	6	6	36	92
Candidatus Thermoplasmatota	78	14	0	0	48	287	753	33	301	187
Nitrososphaerota	104	125	14	0	98	828	1237	108	1332	1695
Thermoproteota	321	152	73	2	272	2248	2230	193	2282	1788
Euryarchaeota	1596	761	576	15	2684	11006	11441	1303	12472	17283
Dividoviricota	0	0	0	0	0	4	0	0	1	0
Hofneiviricota	0	0	0	0	0	9	2	3	0	4
Saleviricota	0	0	0	0	1	0	0	0	0	0
Phixviricota	0	0	1	0	2	1	0	0	1	0
Taleaviricota	7	1	0	0	3	21	0	4	1	7
Duplornaviricota	0	0	0	0	1	35	279	4	183	6
Lenarviricota	1	4	0	0	1	16	0	3	4	23
Pisuviricota	8	33	0	0	149	362	73	17	828	1327
Kitrinoviricota	14	7	5	13	36	144	58	33	96	159
Negarnaviricota	29	25	0	0	18	136	258	15	305	64
Artverviricota	53	21	3	1	67	880	4	60	10	249
Preplasmiviricota	8	2	1	1	5	32	3	7	6	34
Nucleocytoviricota	219	71	32	1	289	1885	2631	199	2370	731
Peploviricota	32	8	3	0	24	617	287	55	55	208
Uroviricota	1251	8082	6708	201	3844	242463	65044	933	6743000	11881
Cressdnaviricota	2	2	0	0	9	68	1	4	2	20
Cossaviricota	19826914	14822420	7311682	9510121	12848845	4687	314661	28585830	45561	24338
