#Classification	D1	D2	D3	D4	D5	P1	P2	P3	P4	P5
Coprothermobacter proteolyticus	0	6	0	0	19	13	5	0	58	108
Candidatus Fervidibacter sacchari	0	4	0	0	2	33	2	5	8	18
Nitrospina watsonii	1	15	0	0	88	73	21	0	370	438
Desulfurispirillum indicum	2	1	0	0	20	52	4	2	123	71
Caldithrix abyssi	3	5	2	0	7	52	6	2	7	28
uncultured bacterium	3	0	0	0	0	0	0	0	1	0
Caldisericum exile	5	6	0	0	2	25	4	1	7	15
Atribacter laminatus	11	5	1	0	10	44	5	3	23	27
Thermodesulfobium acidiphilum	3	2	1	0	2	36	48	3	35	6
Thermodesulfobium narugense	7	0	2	0	6	31	2	5	6	18
Elusimicrobium minutum	2	2	0	0	2	36	198	2	188	23
Endomicrobium proavitum	6	16	0	0	13	20	99	3	118	254
Candidatus Endomicrobium trichonymphae	6	9	0	0	10	100	1294	8	1114	10
Dictyoglomus thermophilum	6	2	0	0	4	91	821	3	685	57
Dictyoglomus turgidum	16	35	0	0	1	36	88	17	104	174
Dissulfurimicrobium hydrothermale	2	1	0	0	3	18	0	4	2	4
Microvenator marinus	4	1	0	0	3	11	0	2	4	10
Persicimonas caeni	6	1	7	0	5	165	16	31	25	88
Bradymonas sediminis	11	4	11	0	13	67	3	7	12	41
Thermovirga lienii	0	0	0	0	2	15	1	3	3	15
Acetomicrobium mobile	1	1	0	0	0	6	1	1	3	7
Jonquetella anthropi	0	0	0	0	0	4	0	0	1	4
uncultured Dethiosulfovibrio sp.	1	1	0	0	0	14	1	0	7	11
Pyramidobacter piscolens	0	0	3	0	32	21	4	7	5	24
Pyramidobacter sp. YE332	3	1	0	0	0	10	1	0	5	20
Aminobacterium sp. MB27-C1	0	0	0	0	2	15	2	2	1	19
Aminobacterium colombiense	1	0	0	0	0	19	0	2	2	3
Fretibacterium fastidiosum	3	13	2	0	2	43	14	3	68	232
Aminithiophilus ramosus	5	2	1	0	3	34	14	4	7	22
Cloacibacillus porcorum	1	24	0	0	35	450	23	35	305	587
Aminomonas paucivorans	5	4	0	0	6	93	6	6	8	34
Thermanaerovibrio velox	0	3	0	0	7	16	0	1	1	11
Thermanaerovibrio acidaminovorans	4	1	0	1	3	25	1	2	2	16
Thermodesulfovibrio yellowstonii	4	0	2	0	6	75	21	1	4	39
Dissulfurispira thermophila	7	5	0	0	5	79	2	3	5	23
Leptospirillum ferrooxidans	0	0	0	0	2	21	3	3	1	7
Leptospirillum ferriphilum	0	1	0	0	2	10	0	0	0	7
Leptospirillum sp. Group II 'CF-1'	3	1	0	0	1	6	0	1	0	1
Nitrospira sp. KM1	0	6	0	0	30	38	7	1	115	168
Candidatus Nitrospira neomarina	1	0	0	0	2	16	2	0	1	13
Candidatus Nitrospira inopinata	2	39	0	1	154	149	43	1	967	1327
Nitrospira japonica	4	1	0	0	2	21	4	0	15	30
Nitrospira moscoviensis	5	1	2	0	4	31	1	4	21	22
Candidatus Nitrospira allomarina	6	1	0	0	3	8	1	0	2	7
Nitrospira tepida	7	4	1	0	3	45	2	1	3	20
Candidatus Chazhemtobacterium aquaticus	3	1	0	0	1	10	0	1	0	5
Candidatus Absconditicoccus praedator	4	6	0	0	10	51	349	5	367	17
Candidatus Bipolaricaulis anaerobius	4	2	0	0	3	34	2	10	9	34
Candidatus Minimicrobia vallesae	0	0	0	0	0	2	0	0	1	0
Candidatus Mycosynbacter amalyticus	1	1	0	0	2	45	6	1	2	25
Candidatus Saccharimonas aalborgensis	0	0	0	0	0	1	4	1	1	3
Candidatus Nanosynbacter sp. HMT-352	1	17	0	0	94	82	22	0	481	437
Candidatus Nanosynbacter lyticus	1	0	0	0	0	19	2	0	10	17
Candidatus Nanosynbacter featherlites	3	1	0	0	0	5	0	0	1	5
Candidatus Babela massiliensis	6	1	2	0	7	72	453	7	407	21
Candidatus Chromulinivorax destructor	19	3	6	1	16	15	7	9	4	22
Thermovibrio ammonificans	1	0	1	0	0	22	3	2	3	16
Desulfurobacterium thermolithotrophum	8	1	0	1	4	59	4	9	2	23
Thermosulfidibacter takaii	1	2	0	0	0	14	0	0	0	3
Aquifex aeolicus	0	0	0	0	2	13	1	2	0	2
Hydrogenobacter sp. T-8	0	1	0	0	1	21	0	1	0	7
Hydrogenobacter thermophilus	2	1	0	0	2	23	0	1	1	15
Thermocrinis albus	1	8	0	0	27	46	10	2	178	322
Thermocrinis minervae	2	0	0	0	1	8	0	1	1	6
Thermocrinis ruber	3	1	0	0	3	10	0	0	0	4
Persephonella marina	9	3	1	0	11	24	8	6	1	28
Sulfurihydrogenibium sp. YO3AOP1	7	8	2	0	18	57	613	19	477	140
Sulfurihydrogenibium azorense	12	0	1	0	7	13	3	4	4	17
Geovibrio thiophilus	0	1	0	0	3	10	3	2	8	10
Denitrovibrio acetiphilus	1	2	0	0	1	31	1	4	2	6
Flexistipes sinusarabici	7	3	0	0	6	60	392	3	305	29
Calditerrivibrio nitroreducens	8	2	1	0	7	21	53	1	46	10
Deferribacter desulfuricans	15	5	0	3	17	107	119	11	55	44
Mucispirillum schaedleri	18	1	0	0	3	145	822	16	672	81
Silvanigrella paludirubra	0	0	0	0	0	3	0	0	0	0
Silvanigrella aquatica	5	5	0	0	6	91	746	9	688	61
Pigmentibacter sp. JX0631	6	7	1	0	11	110	268	9	137	58
Fluviispira sanaruensis	32	23	0	0	97	147	37	7	380	610
Pseudobdellovibrio exovorus	0	1	0	0	9	29	2	2	2	13
Micavibrio aeruginosavorus	1	0	1	0	2	24	5	3	2	12
Bdellovibrio sp. NC01	0	0	0	0	3	7	0	1	2	1
Bdellovibrio reynosensis	4	0	0	0	0	33	0	1	2	13
Bdellovibrio sp. ZAP7	3	0	1	0	6	14	2	2	10	5
Bdellovibrio sp. 22V	4	1	0	0	2	13	0	1	1	4
Bdellovibrio sp. SKB1291214	7	1	0	0	5	14	2	1	1	8
Bdellovibrio sp. KM01	14	0	0	0	13	16	0	1	6	12
Bdellovibrio bacteriovorus	28	17	6	4	54	151	340	5	346	198
Halobacteriovorax marinus	3	8	1	0	10	44	11	6	13	24
Halobacteriovorax sp. BALOs 7	13	12	0	0	16	34	4	4	4	13
Peredibacter starrii	8	5	0	0	5	36	2	3	11	42
