SAMPLE	NUM_FOUND	AAC(6')-Ic	ACC-1b	ACC-7	ACT-76	APH(3')-IIb	APH(3')-Ia	ArmR	ArnT	CFE-1	CMY-157	CMY-59	CMY-86	CRP	CTX-M-137	CTX-M-40	CTX-M-76	DHA-16	Enterobacter_cloacae_acrA	Escherichia_coli_acrA	FosA	FosA2	FosA6	FosA8	H-NS	IreK	KLUC-5	Klebsiella_pneumoniae_KpnE	Klebsiella_pneumoniae_KpnF	Klebsiella_pneumoniae_KpnG	Klebsiella_pneumoniae_KpnH	Klebsiella_pneumoniae_OmpK37	Klebsiella_pneumoniae_acrA	LEN-32	LptD	MdtK	MdtQ	MexA	MexC	MexD	MexK	MexL	MexV	ORN-1	ORN-3	OXA-494	OXA-905	OXY-1-3	OXY-2-2	OXY-4-1	OXY-6-2	OmpA	OpmD	OpmH	OprJ	OprM	PDC-55	PmrF	Pseudomonas_aeruginosa_CpxR	Pseudomonas_aeruginosa_catB7	Pseudomonas_aeruginosa_emrE	QnrB27	QnrB30	QnrS1	SAT-2	SPR-1	SST-1	TER-2	TolC	TriA	TriB	TriC	YojI	aadA	acrB	acrD	arnA	bacA	basS	bcr-1	catB2	catII	cprR	cprS	cpxA	dfrA1	dfrA15	dfrE	efrA	efrB	emeA	emrA	emrB	emrR	eptB	fosA5	kdpE	lmrD	lsaA	lsaD	marA	mdtB	mdtC	mdtH	mdtM	mexP	mexY	msbA	opmE	oqxA	oqxB	ramA	rsmA	sul2	tet(57)	tet(D)	tet(H)	tet(M)	tet(S)	vanR_gene_in_vanC_cluster	vanT_gene_in_vanC_cluster	vanXY_gene_in_vanC_cluster
D1	34	minus	minus	minus	plus	minus	minus	minus	plus	minus	minus	minus	minus	plus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	plus	minus	minus	plus	plus	plus	plus	plus	minus	minus	plus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	minus	plus	minus	minus	plus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	minus	minus	minus	minus	plus	plus	plus	minus	minus	minus	minus	plus	minus	plus	minus	plus	minus	minus	plus	minus	plus	minus	minus	minus	minus	minus
D2	50	minus	plus	minus	minus	minus	plus	minus	plus	minus	minus	plus	plus	plus	plus	minus	plus	minus	plus	plus	minus	minus	minus	minus	plus	minus	minus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	plus	minus	minus	minus	plus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	plus	plus	plus	minus	minus	minus	plus	minus	minus	minus	plus	plus	plus	plus	minus	plus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	minus	minus	minus	plus	plus	plus	minus	plus	minus	minus	plus	minus	plus	plus	minus	minus	plus	minus	plus	minus	minus	minus	minus	minus	minus
D3	29	minus	minus	minus	plus	minus	minus	minus	plus	minus	minus	minus	minus	plus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	plus	minus	minus	plus	plus	plus	plus	plus	plus	minus	plus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	plus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	minus	minus	minus	minus	plus	plus	plus	minus	minus	minus	minus	plus	minus	plus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus
D4	0	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus
D5	47	minus	minus	plus	plus	minus	minus	minus	plus	plus	minus	minus	minus	plus	plus	minus	minus	minus	plus	minus	minus	plus	minus	minus	plus	plus	minus	plus	plus	plus	plus	plus	plus	minus	plus	minus	plus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	plus	minus	plus	minus	minus	minus	minus	minus	plus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	plus	minus	plus	plus	minus	plus	minus	minus	minus	minus	minus	minus	plus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	minus	plus	minus	plus	plus	plus	minus	minus	minus	minus	plus	minus	plus	plus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus
P1	54	plus	plus	minus	minus	minus	minus	minus	plus	minus	plus	minus	plus	plus	plus	plus	plus	minus	plus	minus	minus	minus	plus	minus	plus	minus	minus	plus	plus	plus	plus	plus	minus	plus	plus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	minus	plus	minus	plus	minus	minus	minus	plus	plus	plus	plus	minus	plus	minus	minus	minus	minus	minus	minus	plus	plus	plus	minus	minus	minus	minus	plus	plus	plus	plus	minus	plus	plus	minus	minus	plus	plus	plus	plus	plus	minus	minus	plus	minus	minus	plus	plus	plus	plus	minus	plus	minus	minus	minus	plus	plus	plus
P2	63	minus	plus	minus	minus	minus	minus	minus	plus	minus	minus	minus	plus	plus	plus	minus	plus	minus	plus	plus	minus	minus	plus	minus	plus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	minus	minus	minus	plus	minus	minus	minus	plus	minus	minus	minus	minus	minus	plus	plus	plus	plus	minus	minus	minus	minus	minus	plus	minus	plus	plus	plus	minus	minus	plus	plus	minus	plus	plus	plus	plus	plus	plus	minus	plus	minus	plus	minus	minus	minus	plus	plus	plus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	plus	minus	minus	plus	plus	plus	minus	plus	minus	plus	plus	minus	plus	plus	plus	plus	plus	minus	minus	minus	minus	plus	minus	minus	minus
P3	5	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	plus	minus	minus	minus	minus	minus	minus
P4	75	minus	plus	minus	minus	plus	plus	plus	plus	minus	plus	minus	minus	plus	plus	minus	plus	minus	plus	minus	plus	minus	minus	plus	plus	minus	minus	minus	minus	plus	plus	plus	minus	minus	minus	plus	plus	plus	plus	plus	plus	minus	plus	minus	plus	minus	plus	plus	minus	minus	minus	plus	minus	plus	plus	plus	plus	minus	plus	plus	plus	minus	plus	plus	plus	plus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	minus	plus	minus	plus	plus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	minus	minus	plus	plus	plus	plus	minus	plus	minus	plus	plus	plus	plus	plus	plus	plus	minus	plus	minus	plus	minus	plus	minus	plus
P5	35	minus	plus	minus	minus	minus	minus	minus	plus	minus	minus	minus	plus	plus	plus	minus	minus	minus	plus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	plus	minus	plus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	plus	minus	minus	minus	plus	minus	plus	plus	minus	plus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	plus	plus	plus	minus	minus	plus	minus	minus	plus	plus	plus	plus	minus	plus	minus	minus	plus	minus	plus	plus	plus	plus	minus	minus	plus	minus	minus	minus	minus	minus	minus
