SAMPLE	NUM_FOUND	AAC(6')-Ic	ACC-1b	ACC-7	ACT-76	APH(3')-IIb	APH(3')-Ia	ArmR	ArnT	CFE-1	CMY-157	CMY-59	CMY-86	CRP	CTX-M-137	CTX-M-40	CTX-M-76	DHA-16	Enterobacter_cloacae_acrA	Escherichia_coli_acrA	FosA	FosA2	FosA6	FosA8	H-NS	IreK	KLUC-5	Klebsiella_pneumoniae_KpnE	Klebsiella_pneumoniae_KpnF	Klebsiella_pneumoniae_KpnG	Klebsiella_pneumoniae_KpnH	Klebsiella_pneumoniae_OmpK37	Klebsiella_pneumoniae_acrA	LEN-32	LptD	MdtK	MdtQ	MexA	MexC	MexD	MexK	MexL	MexV	ORN-1	ORN-3	OXA-494	OXA-905	OXY-1-3	OXY-2-2	OXY-4-1	OXY-6-2	OmpA	OpmD	OpmH	OprJ	OprM	PDC-55	PmrF	Pseudomonas_aeruginosa_CpxR	Pseudomonas_aeruginosa_catB7	Pseudomonas_aeruginosa_emrE	QnrB27	QnrB30	QnrS1	SAT-2	SPR-1	SST-1	TER-2	TolC	TriA	TriB	TriC	YojI	aadA	acrB	acrD	arnA	bacA	basS	bcr-1	catB2	catII	cprR	cprS	cpxA	dfrA1	dfrA15	dfrE	efrA	efrB	emeA	emrA	emrB	emrR	eptB	fosA5	kdpE	lmrD	lsaA	lsaD	marA	mdtB	mdtC	mdtH	mdtM	mexP	mexY	msbA	opmE	oqxA	oqxB	ramA	rsmA	sul2	tet(57)	tet(D)	tet(H)	tet(M)	tet(S)	vanR_gene_in_vanC_cluster	vanT_gene_in_vanC_cluster	vanXY_gene_in_vanC_cluster
D1	34	.	.	.	99.91	.	.	.	100.00	.	.	.	.	100.00;100.00;100.00;100.00;100.00	.	.	.	.	100.00;100.00	.	.	.	.	.	97.10;97.10;100.00	.	.	88.43	100.00	100.00;97.87;100.00	100.00	97.78	.	.	99.74	.	99.93	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00;97.16;96.71	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	99.62	99.90;99.84	100.00;99.90	.	99.51;99.51;98.78	.	.	100.00	.	.	.	99.49;96.87;99.49	100.00	.	.	.	.	.	.	99.48	100.00;100.00;96.61	98.26	98.10	.	.	.	.	97.92;91.67	99.94;99.90;93.69	99.97;99.97;99.94	.	.	.	.	100.00	.	99.66	.	100.00;94.67;96.80	.	.	98.50	.	97.92	.	.	.	.	.
D2	50	.	100.00	.	.	.	99.75	.	89.13;99.94	.	.	100.00	100.00	100.00;99.37;100.00;100.00	93.95	.	99.20	.	100.00	100.00	.	.	.	.	96.14;100.00;97.10;100.00	.	.	88.43;99.17	100.00	99.49;99.49;100.00	100.00	99.11	95.57	.	99.79	98.39	98.54	.	.	.	.	.	.	100.00	.	.	.	99.89	.	.	.	95.82;97.16	.	.	.	.	.	95.67	.	.	.	.	100.00	100.00	100.00	.	.	.	99.40;89.85	.	.	.	99.76	99.62	99.75;99.71;99.97	100.00;99.33;100.00	.	99.03;99.51	.	.	.	.	.	.	100.00;99.49;99.49;99.49	100.00	.	.	.	.	.	99.91	99.35;100.00;99.94	100.00;95.29;95.86	98.32	100.00	98.82	.	.	.	96.61;91.67;91.67;96.61	100.00;99.94;100.00;99.94	90.22;99.94;99.97;99.12;99.97	.	97.40	.	.	100.00;100.00;100.00;100.00	.	100.00;99.74	99.27	.	.	100.00	.	100.00	.	.	.	.	.	.
D3	29	.	.	.	99.91	.	.	.	99.82	.	.	.	.	100.00;100.00;100.00	.	.	.	.	100.00	.	.	.	.	.	100.00;97.10	.	.	99.17	100.00	100.00;100.00	100.00	99.20	99.67	.	99.91	.	97.78	.	.	.	.	.	.	.	.	.	.	.	.	.	.	98.13;97.16;96.71	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.81;99.90	100.00;100.00	.	98.78;99.51	.	.	.	.	.	.	100.00;99.49;96.87	.	.	.	.	.	.	.	99.48	95.29;100.00	97.91	100.00	.	.	.	.	91.67;97.92	99.94	100.00;99.97	.	.	.	.	100.00;84.91	.	100.00	99.30	100.00;95.20	.	.	.	.	.	.	.	.	.	.
D4	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
D5	47	.	.	100.00	99.91	.	.	.	100.00;99.82	100.00	.	.	.	99.37;100.00;100.00;100.00;100.00;100.00	94.18	.	.	.	100.00;100.00	.	.	99.77	.	.	100.00;100.00;96.14;97.10;97.10	100.00	.	99.17;88.43	100.00;100.00	100.00;100.00;100.00;99.49	80.57;100.00	99.11;97.78;99.20	97.49	.	99.74;99.91	.	99.93;97.99;97.78	.	.	.	.	.	.	100.00	.	.	.	.	.	99.89	.	95.56;91.38;97.16	.	.	.	.	.	95.67	.	.	.	100.00	.	.	.	.	.	.	99.60;89.85	.	.	.	99.76	.	99.84;86.70;99.81;80.00	99.33;100.00;100.00;99.87;100.00	.	99.51;99.51;98.78;99.51;98.78	.	.	.	.	.	.	99.49;100.00;96.87;100.00;99.49	.	.	100.00	100.00	96.69	97.72	99.91	99.48;100.00	94.73;95.29;96.61;95.29;100.00	82.14;98.26;97.91	100.00;98.10	.	.	100.00	.	97.92;91.67;91.67;96.61;91.67	89.11;99.94;99.97;99.94	96.23;99.97;99.09;99.97;100.00	.	.	.	.	100.00;100.00;100.00;100.00	.	100.00;100.00	99.30;99.94	100.00;94.67;95.20	83.87;83.87	.	.	.	.	.	.	.	.	.
P1	54	100.00	100.00	.	.	.	.	.	100.00;100.00	.	100.00	.	100.00	100.00;99.37	93.95	89.46	99.20	.	100.00	.	.	.	100.00	.	85.99;100.00;96.14;100.00	.	.	100.00	100.00	99.49	99.94	99.11	.	100.00	99.91	.	99.93;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	97.16	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	.	100.00	.	99.40;89.85	.	.	.	99.76;99.76	99.62	83.14;99.71	88.41;100.00;88.41;99.33;99.90	.	100.00;99.51;98.91;99.51;99.03	.	.	.	.	.	.	99.49;100.00;99.49	100.00	100.00	.	.	.	.	99.91;83.03	100.00;99.94;99.94;98.90	96.42;100.00;96.05;95.29	100.00	.	98.82;98.82	100.00	.	.	96.09;91.67	100.00;99.94;100.00;99.94;87.16	99.12;99.97;99.19;99.12;100.00	100.00	97.40	.	.	100.00;100.00;91.08;88.74;100.00;94.97	.	.	100.00	94.40;94.67	83.87	100.00	.	100.00	.	.	.	100.00	100.00	100.00
P2	63	.	100.00	.	.	.	.	.	100.00;100.00;99.94;100.00;100.00	.	.	.	100.00	91.31;99.37;100.00;100.00	93.95	.	99.20	.	99.75	100.00	.	.	98.10;100.00;100.00	.	97.83;100.00;96.14;97.83	.	100.00	99.17;100.00	100.00;100.00	99.49;100.00	99.94;100.00	100.00	99.75	100.00	92.89;100.00	98.39	100.00;100.00;99.86;87.43;97.15	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	98.31;95.82;98.13	100.00	100.00	100.00	.	.	.	.	.	100.00	.	100.00	100.00	100.00	.	.	100.00	87.63	.	100.00	100.00	99.76	99.62	99.71;99.75;93.08;99.87	100.00;100.00;99.90;99.33	.	99.03;99.51;99.51;100.00	.	100.00	.	.	.	82.25	99.49;99.49;99.49	100.00	.	.	.	.	.	99.91	99.35;100.00	94.73;95.48;96.05;100.00	100.00;87.42	97.86	98.82	100.00;99.95	.	.	87.76;96.61;96.09;91.67	99.90;100.00;100.00;99.94	99.97;100.00;100.00;99.97;99.12	.	97.40	.	99.81	90.97;100.00;100.00;100.00;100.00;100.00	.	100.00;100.00;100.00	100.00;99.94	94.67;94.40;93.87;94.67	83.87	100.00	.	.	.	.	100.00	.	.	.
P3	5	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	83.87	.	.	100.00	.	.	.	.	.	.
P4	75	.	100.00	.	.	100.00	99.75	100.00	100.00;99.94	.	100.00	.	.	100.00;100.00;99.37;100.00;100.00;100.00;90.05	93.95	.	99.20	.	99.75;100.00	.	100.00	.	.	98.36	96.14;100.00;100.00	.	.	.	.	100.00;99.49	100.00	99.11	.	.	.	100.00	98.54;99.93	100.00	100.00	99.97	86.71	.	100.00	.	100.00	.	100.00	100.00	.	.	.	93.96;97.16;97.16	.	100.00	89.44	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	99.33	.	.	89.85;99.40	100.00	100.00	92.88	99.76	99.62	99.71;86.06	99.45;99.33;100.00	98.29	99.03;99.51;99.51;99.51;90.39;98.91	100.00	100.00	.	.	100.00	.	99.49;99.49;99.49;100.00	100.00	.	.	.	.	.	.	100.00;99.94;99.94;100.00	96.61;95.29;94.73	98.32;98.26	100.00	98.82	100.00	.	.	96.09;91.67;97.14;99.74	99.87;99.94;100.00;98.62;100.00;99.94	99.90;99.97;99.12;100.00	100.00	.	100.00	.	100.00;100.00;100.00;100.00;80.10;100.00	100.00	100.00	100.00;98.26	93.87	83.87	100.00	.	100.00	.	100.00	.	100.00	.	100.00
P5	35	.	100.00	.	.	.	.	.	99.94	.	.	.	100.00	100.00;100.00;90.21;99.37;100.00	93.95	.	.	.	100.00;99.75	.	.	.	.	.	100.00;100.00;96.14	.	.	.	.	99.49;99.49	.	97.96;99.11	.	.	.	.	99.93	.	.	.	.	.	.	.	.	.	.	.	.	.	97.14	97.16;93.33	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	.	89.85;99.40	.	.	.	99.76	.	99.71;99.40	99.33;100.00;97.94	.	99.51;99.03;99.03	.	.	.	.	.	.	99.49;100.00	.	.	.	.	.	.	99.91	100.00;98.90;99.94	97.55;95.48;94.73;95.29	.	.	98.82	.	.	99.93	91.67;97.14	100.00;99.94;99.87;100.00	100.00;99.97;99.90;99.12;99.94	.	97.40	.	.	91.08;95.08;91.08;92.57;100.00	.	100.00	84.97;100.00	96.80;95.20	83.87	.	.	100.00	.	.	.	.	.	.
