Gene Family	D1	D2	D3	D5	P1	P2	P3	P4	P5
UniRef90_A0A014NQV7	0.0	0.0	0.0	0.1867214994	0.0	0.1867214994	0.0	0.0	0.2329683576
UniRef90_A0A016T2A2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9449081064
UniRef90_A0A022NG31	0.0	0.3653297259	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A023LG28	0.0	0.0	0.0	0.0	0.2700342405	0.0	0.0	0.0	0.0
UniRef90_A0A023M5N6	0.0	0.0	0.0	0.0	2.3752969121	0.0	0.0	0.0	0.0
UniRef90_A0A023PSX6	0.0	0.8354218881	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A023RIQ4	0.0	1.287001287	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A024HCY6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6618133686	0.0
UniRef90_A0A024HD61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9871668312	0.0
UniRef90_A0A024HJL5	0.0	0.0	0.0	0.0	0.0	0.6257822278	0.0	0.0	0.0
UniRef90_A0A024HNQ3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6662225183	0.0
UniRef90_A0A024HPQ7	0.0	0.0	0.0	0.0	0.0	0.6578947368	0.0	0.6578947368	0.0
UniRef90_A0A024HQB8	0.0	0.0	0.0	0.0	0.0	0.826446281	0.0	0.0	0.0
UniRef90_A0A024KYM5	0.0	0.4987531172	0.0	0.0	0.9972576037	0.4987531172	0.0	0.0	0.4987531172
UniRef90_A0A024L5F6	0.0	0.0	0.0	0.271523306	1.0793357964	0.425428567	0.0	0.0	0.2126150727
UniRef90_A0A024R1F8	0.0	0.0	0.0	0.0	0.2619743822	0.0	0.0	0.0	0.0808367922
UniRef90_A0A024R1H7	0.0	0.0	0.0	0.0	0.1038483635	0.0	0.0	0.0	0.1013751302
UniRef90_A0A059MX32	0.0	0.0	0.0	0.8467400508	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A059MXM8	0.0	0.0	0.0	0.3969829297	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A059MY17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5542789102	0.0
UniRef90_A0A059MYI3	0.0	0.0	0.0	1.2091898428	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A059N168	0.0	0.0	0.0	1.1037527594	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A060VG56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6093624119	0.0
UniRef90_A0A060VKH9	0.0	0.3475892173	0.0	0.3854006885	0.3855287459	0.6018431058	0.0	0.2549012062	0.0
UniRef90_A0A060Y711	0.0	0.0	0.0	0.0	11.9047619048	0.0	0.0	0.0	0.0
UniRef90_A0A060Z362	0.0	0.0	0.0	0.0	9.8039215686	0.0	0.0	0.0	0.0
