Gene_Family	D1	D2	D3	D5	P1	P2	P3	P4	P5
UniRef90_A0A014NQV7	0	0	0	0.000116299	0	5.17814e-05	0	0	7.15381e-05
UniRef90_A0A016T2A2	0	0	0	0	0	0	0	0	0.000290155
UniRef90_A0A022NG31	0	0.000148573	0	0	0	0	0	0	0
UniRef90_A0A023LG28	0	0	0	0	3.87607e-05	0	0	0	0
UniRef90_A0A023M5N6	0	0	0	0	0.00034095	0	0	0	0
UniRef90_A0A023PSX6	0	0.000339752	0	0	0	0	0	0	0
UniRef90_A0A023RIQ4	0	0.000523402	0	0	0	0	0	0	0
UniRef90_A0A024HCY6	0	0	0	0	0	0	0	0.000166303	0
UniRef90_A0A024HD61	0	0	0	0	0	0	0	0.000248059	0
UniRef90_A0A024HJL5	0	0	0	0	0	0.000173541	0	0	0
UniRef90_A0A024HNQ3	0	0	0	0	0	0	0	0.000167411	0
UniRef90_A0A024HPQ7	0	0	0	0	0	0.000182447	0	0.000165319	0
UniRef90_A0A024HQB8	0	0	0	0	0	0.000229189	0	0	0
UniRef90_A0A024KYM5	0	0.000202835	0	0	0.000143146	0.000138314	0	0	0.000153153
UniRef90_A0A024L5F6	0	0	0	0.000169118	0.000154928	0.000117979	0	0	6.52882e-05
UniRef90_A0A024R1F8	0	0	0	0	3.76037e-05	0	0	0	2.48227e-05
UniRef90_A0A024R1H7	0	0	0	0	1.49064e-05	0	0	0	3.11295e-05
UniRef90_A0A059MX32	0	0	0	0.000527392	0	0	0	0	0
UniRef90_A0A059MXM8	0	0	0	0.000247261	0	0	0	0	0
UniRef90_A0A059MY17	0	0	0	0	0	0	0	0.000139282	0
UniRef90_A0A059MYI3	0	0	0	0.000753144	0	0	0	0	0
UniRef90_A0A059N168	0	0	0	0.000687472	0	0	0	0	0
UniRef90_A0A060VG56	0	0	0	0	0	0	0	0.000153123	0
UniRef90_A0A060VKH9	0	0.000141359	0	0.000240047	5.53387e-05	0.000166903	0	6.40526e-05	0
UniRef90_A0A060Y711	0	0	0	0	0.00170881	0	0	0	0
UniRef90_A0A060Z362	0	0	0	0	0.00140725	0	0	0	0
UniRef90_A0A061IDB5	0	0	0	0	8.1425e-05	0	0	0	0
UniRef90_A0A061IN86	0	0	0	0	0.000902766	0	0	0	0
