Pathway	D1	D2	D3	D5	P1	P2	P3	P4	P5
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0	0	0	0	0	0	0	0.0293478	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0	0	0	0	0	0	0	0.0358258	0
CITRULBIO-PWY: L-citrulline biosynthesis	0	0.0615555	0	0	0	0	0	0	0
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0	0.0772553	0	0.0954714	0.122758	0.030596	0	0.0639681	0.0826447
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0	0.032876	0	0	0.0221459	0.0407195	0	0.0675252	0
GLUTORN-PWY: L-ornithine biosynthesis I	0	0	0	0	0	0.0194547	0	0.01898	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0	0	0	0	0	0.0300187	0	0	0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0	0	0	0	0	0	0	0	0.0286033
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	0	0	0	0	0	0	0	0.0250456	0.016803
HISDEG-PWY: L-histidine degradation I	0	0	0	0	0.0319991	0	0	0.0280309	0
HSERMETANA-PWY: L-methionine biosynthesis III	0	0.0518162	0	0	0	0	0	0	0.0299331
LIPASYN-PWY: phospholipases	0	0	0	0.0375929	0	0	0	0.0109676	0
P161-PWY: acetylene degradation (anaerobic)	0	0	0	0.0320856	0.0323063	0.0314611	0	0	0.0347493
P221-PWY: octane oxidation	0	0	0	0	0	0.0174362	0	0.0230399	0.0127805
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	0	0	0	0.0459338	0.0365108	0.0325525	0	0	0.0240184
PPGPPMET-PWY: ppGpp metabolism	0	0	0	0	0.0256847	0	0	0.017637	0.0202532
PWY-4041: &gamma;-glutamyl cycle	0	0.0448096	0	0	0	0.0316833	0	0.0242947	0.0186609
PWY-5100: pyruvate fermentation to acetate and lactate II	0	0	0	0	0.0365108	0.0325525	0	0	0.0271427
PWY-5103: L-isoleucine biosynthesis III	0	0	0	0	0	0	0	0	0.029228
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0	0.0657128	0	0	0	0	0	0	0
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	0	0.0823173	0	0.101939	0.135222	0.0340145	0	0.076091	0.0882017
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	0	0	0	0	0.0206118	0	0	0	0
PWY-5659: GDP-mannose biosynthesis	0	0	0	0.0407658	0.0248021	0.0227836	0	0	0
PWY-5675: nitrate reduction V (assimilatory)	0	0	0	0	0.0508849	0.0241372	0	0	0
PWY-5695: inosine 5'-phosphate degradation	0	0	0	0	0.0218362	0	0	0	0.00738187
PWY-5941: glycogen degradation II	0	0.0356966	0	0	0	0.0580887	0	0.0262005	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0	0	0	0	0	0	0	0.0249934	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0	0	0	0	0	0	0	0.0292326	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0	0	0	0	0	0	0	0.0292326	0
PWY-6305: superpathway of putrescine biosynthesis	0	0.0568145	0	0	0	0.0581736	0	0.0369881	0
PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)	0	0	0	0	0.0334375	0	0	0	0
PWY-6317: D-galactose degradation I (Leloir pathway)	0	0	0	0	0.0249908	0.0198462	0	0.0267378	0
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0	0	0	0	0	0.021487	0	0	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0	0	0	0	0	0.0214775	0	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0	0	0	0	0	0.0280626	0	0	0
PWY-6527: stachyose degradation	0	0.0392672	0	0	0.0303139	0.0199095	0	0.0218815	0
PWY-6606: guanosine nucleotides degradation II	0	0	0	0	0	0	0	0.0105897	0
PWY-6608: guanosine nucleotides degradation III	0	0	0	0	0	0	0	0.0105897	0
PWY-6731: starch degradation III	0	0	0	0	0	0.0317547	0	0	0
PWY-6803: phosphatidylcholine acyl editing	0	0	0	0.0375929	0	0	0	0	0
PWY-6859: all-trans-farnesol biosynthesis	0	0	0	0	0.01661	0	0	0	0
PWY-6892: thiazole component of thiamine diphosphate biosynthesis I	0	0	0	0	0	0.0284217	0	0	0.0180307
PWY-6902: chitin degradation II (Vibrio)	0	0	0	0	0.013647	0	0	0	0.0441599
PWY-7013: (S)-propane-1,2-diol degradation	0	0	0	0.0319377	0.0258611	0	0	0	0.0481903
PWY-7111: pyruvate fermentation to isobutanol (engineered)	0	0	0	0	0	0	0	0	0.0301742
