feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.	Group	Vespertilio murinus	-0.2	0.226778683805536	9	1	0.40708382206559	0.56822116829989
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle.	Group	Vespertilio murinus	-0.2	0.226778683805536	9	1	0.40708382206559	0.56822116829989
CITRULBIO.PWY..L.citrulline.biosynthesis	Group	Vespertilio murinus	0.25	0.21957751641342	9	1	0.292351992440239	0.56822116829989
GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation	Group	Vespertilio murinus	-0.704914532017307	0.678453189435915	9	4	0.333355008148901	0.56822116829989
GLUTORN.PWY..L.ornithine.biosynthesis.I	Group	Vespertilio murinus	-0.407127748226695	0.282767487362505	9	2	0.193106381458077	0.56822116829989
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	Group	Vespertilio murinus	-0.199999999999998	0.226778683805536	9	1	0.407083822065593	0.56822116829989
GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	Group	Vespertilio murinus	-0.199999999999998	0.226778683805536	9	1	0.407083822065593	0.56822116829989
GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol	Group	Vespertilio murinus	-0.515167667906257	0.372314196982985	9	2	0.208967133968157	0.56822116829989
HISDEG.PWY..L.histidine.degradation.I	Group	Vespertilio murinus	-0.438202652481627	0.306193716836272	9	2	0.195484196970868	0.56822116829989
P161.PWY..acetylene.degradation..anaerobic.	Group	Vespertilio murinus	-0.379243031690995	0.372108661922237	9	4	0.342045836857498	0.56822116829989
P221.PWY..octane.oxidation	Group	Vespertilio murinus	-0.859666310988993	0.426167948020797	9	3	0.0834743421344594	0.56822116829989
PPGPPMET.PWY..ppGpp.metabolism	Group	Vespertilio murinus	-0.748369745383551	0.360118090288053	9	3	0.0762962585304492	0.56822116829989
PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II	Group	Vespertilio murinus	-0.737992629570365	0.350269338425695	9	3	0.0731192484945292	0.56822116829989
PWY.5103..L.isoleucine.biosynthesis.III	Group	Vespertilio murinus	-0.199999999999999	0.226778683805536	9	1	0.407083822065591	0.56822116829989
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.	Group	Vespertilio murinus	0.25	0.21957751641342	9	1	0.292351992440239	0.56822116829989
PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.	Group	Vespertilio murinus	-0.199999999999999	0.226778683805536	9	1	0.407083822065591	0.56822116829989
PWY.5675..nitrate.reduction.V..assimilatory.	Group	Vespertilio murinus	-0.615195854923558	0.46870827236446	9	2	0.230734660153975	0.56822116829989
PWY.5695..inosine.5..phosphate.degradation	Group	Vespertilio murinus	-0.71293271600385	0.568991626340633	9	2	0.250446218367992	0.56822116829989
PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I	Group	Vespertilio murinus	-0.199999999999999	0.226778683805536	9	1	0.407083822065591	0.56822116829989
PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II	Group	Vespertilio murinus	-0.2	0.226778683805536	9	1	0.407083822065589	0.56822116829989
PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis	Group	Vespertilio murinus	-0.2	0.226778683805536	9	1	0.407083822065589	0.56822116829989
PWY.6309..L.tryptophan.degradation.XI..mammalian..via.kynurenine.	Group	Vespertilio murinus	-0.200000000000001	0.226778683805536	9	1	0.407083822065587	0.56822116829989
PWY.6317..D.galactose.degradation.I..Leloir.pathway.	Group	Vespertilio murinus	-0.752510451006086	0.357602653427698	9	3	0.0734014712758577	0.56822116829989
PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.	Group	Vespertilio murinus	-0.200000000000001	0.226778683805536	9	1	0.407083822065587	0.56822116829989
PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.	Group	Vespertilio murinus	-0.199999999999999	0.226778683805536	9	1	0.407083822065591	0.56822116829989
PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.	Group	Vespertilio murinus	-0.199999999999999	0.226778683805536	9	1	0.407083822065591	0.56822116829989
PWY.6606..guanosine.nucleotides.degradation.II	Group	Vespertilio murinus	-0.199999999999999	0.226778683805536	9	1	0.407083822065591	0.56822116829989
PWY.6608..guanosine.nucleotides.degradation.III	Group	Vespertilio murinus	-0.199999999999999	0.226778683805536	9	1	0.407083822065591	0.56822116829989
PWY.6731..starch.degradation.III	Group	Vespertilio murinus	-0.2	0.226778683805536	9	1	0.407083822065589	0.56822116829989
PWY.6803..phosphatidylcholine.acyl.editing	Group	Vespertilio murinus	0.250000000000001	0.21957751641342	9	1	0.292351992440236	0.56822116829989
PWY.6859..all.trans.farnesol.biosynthesis	Group	Vespertilio murinus	-0.200000000000001	0.226778683805536	9	1	0.407083822065587	0.56822116829989
PWY.6892..thiazole.component.of.thiamine.diphosphate.biosynthesis.I	Group	Vespertilio murinus	-0.531307488518994	0.387243948190613	9	2	0.212407499559168	0.56822116829989
PWY.6902..chitin.degradation.II..Vibrio.	Group	Vespertilio murinus	-0.738830612935311	0.596190083935893	9	2	0.255187216624217	0.56822116829989
PWY.7111..pyruvate.fermentation.to.isobutanol..engineered.	Group	Vespertilio murinus	-0.200000000000001	0.226778683805536	9	1	0.407083822065587	0.56822116829989
PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type	Group	Vespertilio murinus	-0.2	0.226778683805536	9	1	0.40708382206559	0.56822116829989
PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II	Group	Vespertilio murinus	1.84550989176938	1.19032875062971	9	6	0.164975764651109	0.56822116829989
PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II	Group	Vespertilio murinus	1.84550989176938	1.19032875062971	9	6	0.164975764651109	0.56822116829989
PWY.7245..superpathway.of.NAD.NADP...NADH.NADPH.interconversion..yeast.	Group	Vespertilio murinus	-0.2	0.226778683805536	9	1	0.407083822065588	0.56822116829989
PWY.7822..chitin.degradation.III..Serratia.	Group	Vespertilio murinus	-0.200000000000001	0.226778683805536	9	1	0.407083822065587	0.56822116829989
PWY.7953..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.III..meso.diaminopimelate.containing.	Group	Vespertilio murinus	-0.200000000000001	0.226778683805536	9	1	0.407083822065587	0.56822116829989
PWY.7977..L.methionine.biosynthesis.IV	Group	Vespertilio murinus	-0.2	0.226778683805536	9	1	0.40708382206559	0.56822116829989
PWY.8187..L.arginine.degradation.XIII..reductive.Stickland.reaction.	Group	Vespertilio murinus	0.250000000000001	0.21957751641342	9	1	0.292351992440236	0.56822116829989
PWY0.1061..superpathway.of.L.alanine.biosynthesis	Group	Vespertilio murinus	-0.199999999999999	0.226778683805536	9	1	0.407083822065591	0.56822116829989
PWY0.1338..polymyxin.resistance	Group	Vespertilio murinus	-0.200000000000001	0.226778683805536	9	1	0.407083822065587	0.56822116829989
PWY4LZ.257..superpathway.of.fermentation..Chlamydomonas.reinhardtii.	Group	Vespertilio murinus	-0.2	0.226778683805536	9	1	0.40708382206559	0.56822116829989
PWY66.389..phytol.degradation	Group	Vespertilio murinus	-0.662752929393915	0.308819526611731	9	3	0.0690114356429422	0.56822116829989
SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I	Group	Vespertilio murinus	0.25	0.21957751641342	9	1	0.292351992440239	0.56822116829989
UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I	Group	Vespertilio murinus	-0.797201455695806	0.382939372795541	9	3	0.075883712722902	0.56822116829989
LIPASYN.PWY..phospholipases	Group	Vespertilio murinus	0.494303087952416	0.650615818269495	9	2	0.472212392011004	0.632764605294746
VALSYN.PWY..L.valine.biosynthesis	Group	Vespertilio murinus	0.503789447486605	0.658431661116551	9	2	0.469196579664696	0.632764605294746
PWY.7238..sucrose.biosynthesis.II	Group	Vespertilio murinus	-0.567248383411645	0.869894779005634	9	4	0.535161364465771	0.703055125866797
HSERMETANA.PWY..L.methionine.biosynthesis.III	Group	Vespertilio murinus	0.247915379866396	0.454091276635094	9	2	0.60205108288956	0.746989306548158
P41.PWY..pyruvate.fermentation.to.acetate.and..S..lactate.I	Group	Vespertilio murinus	-0.324708283045386	0.57726016123648	9	4	0.591326007151596	0.746989306548158
PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.	Group	Vespertilio murinus	-0.490835600042127	0.865923466452179	9	6	0.588532350694828	0.746989306548158
FAO.PWY..fatty.acid..beta..oxidation.I..generic.	Group	Vespertilio murinus	-0.455894078494657	0.878087259648347	9	6	0.619634788283912	0.75292467456741
PWY.7013...S..propane.1.2.diol.degradation	Group	Vespertilio murinus	-0.253472633409809	0.519544731555623	9	3	0.640547857467796	0.75292467456741
PWY.7268..cytosolic.NADPH.production..yeast.	Group	Vespertilio murinus	0.209360785055708	0.425090202636654	9	2	0.63742998206487	0.75292467456741
PWY.5941..glycogen.degradation.II	Group	Vespertilio murinus	-0.268184558812208	0.578315754197706	9	3	0.656913383012837	0.758848218307932
PWY.6527..stachyose.degradation	Group	Vespertilio murinus	-0.253588491802407	0.567525843370413	9	4	0.668493837030155	0.759137069169837
PWY.4041...gamma..glutamyl.cycle	Group	Vespertilio murinus	-0.262918097984295	0.642690498361975	9	4	0.69470072123529	0.775749138712741
