#FILE	NUM_FOUND	EF0818	EF3023	KP1_RS17280	KP1_RS17340	KP1_RS17345	KP1_RS17355	PA1464	PA2364	PA2383	PA2384	PA3348	PA4218	PA4219	PA4220	acrA	acrB	alg44	alg8	algA	algB	algC	algD	algE	algF	algG	algI	algJ	algK	algL	algQ	algR	algW	algX	algZ	allA	allB	allC	allD	allR	allS	aprA	aslA	bopD	cgsD	cgsF	cgsG	cheY	cheZ	chpA	chpB	chpC	chpD	chpE	chuX	clpV/tssH	clpV1	cpsA/uppS	cpsB/cdsA	crc	csgB	csgD	csgE	csgF	csgG	dotU/tssL	dotU1	east1	ebpA	ebpB	ebpC	ecbA/fss3	efaA	entA	entB	entC	entD	entE	entF	entS	exoT	fepA	fepB	fepC	fepD	fepG	fes	fha1	fimA	fimB	fimC	fimD	fimE	fimF	fimG	fimH	fimI	fimK	fimT	fimU	fimX	fleN	fleQ	fleR	fleS	flgA	flgF	flgG	flgH	flgI	flgJ	flgM	flgN	flhC	fliA	fliE	fliG	fliI	fliJ	fliM	fliN	fptA	fsrA	fsrB	fsrC	fur	fyuA	fyuA/psn	galF	gelE	gndA	groEL	hcp	hcp/tssD	hcp1	hcp2/tssD2	hcpA	hsiA1	hsiB1/vipA/tssB	hsiC1/vipB/tssC	hsiE1	hsiF1/tssE	hsiG1/tssF	hsiH1/tssG	hsiJ1	ibeC	icmF/tssM	icmF1/tssM1	icmH/tssL	iroB	iroC	iroD	iroE	iroN	irp1	irp2	iutA	lasA	lasI	lasR	lip1	mbtH-like	motA	motB	motD	motY	mrkA	mrkB	mrkC	mrkD	mrkF	mrkH	mrkI	mrkJ	mucA	mucB	mucC	mucD	mucE	mucP	ompA	pchA	pchB	pchC	pchD	pchE	pchF	pchG	pchH	pchI	pchR	pcr1	pcr2	pcr3	pcr4	phoP	phzB1	phzC1	phzD1	phzE1	phzF1	phzG2	phzH	phzM	phzS	pilB	pilE	pilG	pilH	pilI	pilJ	pilK	pilM	pilO	pilP	pilQ	pilR	pilS	pilT	pilU	pilV	pilW	pilX	pilY1	pilY2	plcH	pldB/tle5b	pmrA	popN	ppkA	pppA	pscJ	pscK	pscL	pscN	pscO	pscQ	pscR	pscS	pscT	pvdA	pvdG	pvdQ	rcsA	rcsB	rfbK1	rhlC	rpoN	rpoS	sciN/tssJ	spcS	sprE	srtC	stp1	tagF/pppB	tagQ	tagR	tagS	tagT	tse2	tse3	tse5/rhsP1	tse6	tse7	tssB	tssC	tssE	tssF	tssG	tssJ	tssK	tssL	tssM	tviB	tviC	tviD	tviE	ugd	vasE/tssK	vexA	vexB	vexC	vexD	vexE	vgrG/tssI	vgrG1a	vipA/tssB	vipB/tssC	waaA	waaC	waaF	waaG	waaP	xcpA/pilD	xcpR	xcpS	xcpT	xcpU	xcpV	xcpW	xcpX	yagV/ecpE	yagW/ecpD	yagX/ecpC	yagY/ecpB	yagZ/ecpA	ybtA	ybtE	ybtP	ybtQ	ybtS	ybtT	ybtU	ybtX	ykgK/ecpR
ABRicate_results/vfdb/D1_vfdb.txt	63	.	.	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	.	99.81;99.94	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	96.76	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	99.20;99.87;98.26	99.30;100.00;99.30	99.74	.	100.00;98.07	99.87	93.88;99.92;92.67;82.49;96.62	.	99.28	92.29	98.24;99.25;97.99;96.57	99.40;98.91	99.90;86.00;100.00	.	.	99.45	.	.	.	.	.	90.74	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	96.47;96.47;96.47	.	100.00	94.84;98.99	.	99.86;100.00;99.57	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	99.89	100.00	100.00	100.00	99.83	99.95	99.45	.	.	.	.	.	.	.	.	.	100.00	100.00	99.76	.	.	.	.	.	.	.	.	.	.	.	100.00;99.71;99.04	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.85;100.00;99.39	97.30;97.96	.	.	99.80;99.19;99.90	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.94	100.00	.	.	.	.	.	.	.	.	99.14;99.66	.	.	.	.	.	.	82.93	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	99.96	100.00	99.32;100.00	99.58	99.30	99.94	100.00	99.69	99.50	98.55	97.27	100.00
ABRicate_results/vfdb/D2_vfdb.txt	76	.	.	.	.	.	.	.	.	.	.	.	.	.	.	95.81;100.00	100.00;100.00;99.84	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	.	92.23	.	.	.	100.00	.	.	.	.	.	.	.	100.00	98.83	.	.	.	.	100.00	100.00	100.00	99.28	.	99.71	.	.	.	.	.	.	.	99.46;99.20;98.80;100.00	99.65;99.53;99.77;100.00;100.00	99.57	.	97.95;98.26;99.94;100.00	99.90	96.54;93.21;97.83;97.28;100.00	.	99.73	.	97.99;96.98;97.43;96.57;97.99	98.61;99.21	99.80;100.00;99.70	.	.	100.00;96.72;100.00	.	84.85;84.57	96.44	94.42	.	90.33;90.33	99.56	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.30	.	.	.	.	.	.	.	.	96.47;96.47;83.66;97.35	99.90	100.00	98.54;98.65;99.44	.	99.86;99.72;99.72;100.00	99.51	.	100.00;99.19;99.59;100.00;100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.99	100.00;99.71	99.95;89.41;100.00;99.77	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.42;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;99.11;99.56;100.00;99.56	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;100.00;100.00;90.63;100.00;93.86;82.64	.	.	.	99.90;99.80;99.80;99.90	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;100.00	.	98.67;90.48	.	88.32	99.84;96.43;99.84	98.98	100.00	100.00	100.00	100.00;99.91;99.74;100.00	.	100.00	100.00	100.00	100.00	99.70	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	88.78;99.32	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	99.62;99.77	100.00;100.00	99.73;98.55	100.00;100.00	.
ABRicate_results/vfdb/D3_vfdb.txt	42	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.92;99.92	100.00;99.81	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	99.87;99.20	100.00;99.30	100.00	.	100.00;99.75	99.97	100.00;92.19	.	99.96;99.28	93.23	100.00;98.24	99.80	100.00	.	.	100.00	.	86.23	96.10	94.42	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	89.12	.	.	.	.	.	.	.	99.19;100.00	.	.	100.00	99.76	.	.	.	.	100.00;96.47;96.47	.	.	94.84	.	99.57	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	86.47;99.91	99.89;98.82	100.00	100.00	100.00;100.00	.	.	99.77	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;99.71;99.04	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.85;100.00;99.39	.	.	.	99.80;99.80;99.19	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00;95.26	99.96	100.00	100.00;99.15	.	.	.	.	.	.	.	.	100.00
ABRicate_results/vfdb/D4_vfdb.txt	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ABRicate_results/vfdb/D5_vfdb.txt	111	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	99.92;97.74;100.00	100.00;86.62;100.00;80.27	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00;100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	.	99.76	.	.	.	.	.	.	.	100.00	.	.	100.00	100.00	.	100.00	99.54	99.24	99.28	100.00	99.71	.	98.29	100.00	100.00	100.00	99.85;86.71	100.00	97.72;100.00;99.20;99.87;99.87;99.46	99.88;100.00;99.30;100.00;100.00;99.65	100.00;99.74	.	100.00;100.00;99.94;98.07	99.97;99.82	97.76;92.19;100.00;93.64;100.00	.	99.28;99.96;95.02	93.23;92.29	98.24;100.00;97.99;99.12	99.80;98.61;100.00	100.00;99.80;100.00	.	.	100.00;89.98;99.45	.	84.16;86.23;84.85;84.57	.	94.42;94.42	.	90.33	99.56	.	.	.	.	.	.	.	.	.	.	.	.	89.12	.	.	.	.	.	.	.	100.00;99.19;100.00	.	.	100.00	99.76	.	100.00	100.00	100.00	96.47;96.47;96.47;96.47;93.82;100.00;96.47	88.58	99.90	99.55;97.19;94.84	100.00	100.00;99.79;99.57;100.00;99.36;100.00;100.00;100.00	.	.	100.00;100.00;100.00;97.36;100.00;100.00	.	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	99.91;100.00	98.82;99.89	100.00	100.00	100.00;100.00	99.71	99.72;100.00	99.77;99.95	.	.	.	.	.	.	.	.	.	99.51	100.00	99.76	.	.	.	.	.	.	.	.	.	.	.	99.52;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;99.56;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;99.85;100.00;100.00;93.86;94.47;99.39;100.00	.	.	.	99.90;99.90;99.80;99.90;99.19	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	99.12	.	99.94	100.00	90.48	100.00	98.03;95.67	96.43;99.84;99.95	98.90	100.00	100.00	100.00	88.17;98.46;99.66	.	100.00	100.00	100.00	99.77	99.70	83.37	.	100.00;100.00;100.00	99.35;99.35;95.40	.	.	.	.	.	.	.	.	.	.	.	.	.	98.03	95.26;100.00	99.96	100.00	88.78;99.32;99.15;100.00	100.00;100.00;100.00	100.00	100.00;99.77	100.00;100.00	99.77;100.00	100.00;100.00	100.00;98.55	100.00;100.00;100.00	100.00
ABRicate_results/vfdb/P1_vfdb.txt	87	.	.	.	98.68	100.00	99.84	.	.	.	.	.	.	.	.	100.00	83.48;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	92.79;92.23	.	.	99.28	100.00;100.00	.	.	.	.	.	.	.	100.00;100.00	100.00	.	.	.	.	100.00;100.00	100.00;100.00	100.00;100.00	99.28	.	100.00	.	.	.	.	.	.	.	99.46;98.80;97.46;96.79;99.20	99.65;100.00;100.00;99.53;99.77	100.00	100.00	98.07;99.94;100.00;98.26	99.56	96.62;97.28;100.00;97.28;97.83	.	99.60;99.69;100.00	100.00	97.99;96.57;96.98;97.48;100.00;97.43;99.12	98.61;100.00	99.80;100.00;98.99;100.00;99.90	100.00	.	100.00	99.83	100.00;84.57	100.00	100.00	100.00	100.00	100.00	100.00	99.86	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;99.30;98.69	.	.	99.90	.	.	.	.	.	96.47;84.55	100.00	.	97.19;100.00;98.65	.	99.72;100.00;100.00;100.00;99.72	.	99.61	100.00	.	.	.	.	92.87	.	.	100.00	99.62	.	.	100.00	89.09	.	.	.	.	.	98.82	.	.	.	100.00;99.95;100.00	.	.	.	.	.	.	.	.	.	100.00	100.00;100.00	100.00;99.76	100.00	100.00	100.00	100.00	99.16	.	.	.	.	.	.	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.56;100.00;99.70	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.36	100.00;100.00;100.00;100.00;100.00;93.86	.	.	.	99.09;99.90;99.90;99.90	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.12	.	100.00	100.00	90.48	.	98.03;98.03	99.84;96.43	.	.	.	.	100.00;99.74;100.00	100.00	.	.	.	.	.	.	.	100.00;100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	99.96	100.00	99.32	.	100.00	.	.	.	100.00	98.55	.	100.00
ABRicate_results/vfdb/P2_vfdb.txt	190	.	.	.	98.68	100.00	99.84	.	100.00	.	.	100.00	100.00	83.93	100.00	100.00;100.00	100.00;100.00;93.45;99.84	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	89.97	.	.	100.00	100.00	.	.	100.00	100.00	100.00;100.00	100.00	100.00	100.00	100.00	.	91.04;92.23	.	.	.	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	100.00	99.28	.	100.00	100.00	.	.	.	.	.	.	99.33;100.00;99.20;99.46;99.87;98.80	100.00;99.30;100.00;99.77;99.65;100.00;100.00	100.00;99.74	100.00	100.00;98.26;98.07;99.94	99.87;100.00;99.90	96.78;99.84;92.67;100.00;97.83;100.00;96.62;97.28	100.00	100.00;99.91	99.90;100.00;92.29	97.36;97.99;99.87;97.43;100.00;100.00;96.98;93.01;97.99;96.57	85.02;99.60;100.00;98.61	99.70;99.90;100.00;99.70;100.00	100.00	.	100.00;100.00;100.00	99.83	84.57;98.62;100.00	100.00	100.00	89.58;88.64;100.00	89.71;99.38;100.00	80.79;99.56;100.00	100.00	99.86	100.00	.	.	.	.	.	.	100.00	.	.	89.12	.	.	100.00	100.00	.	.	.	100.00;99.30	82.60	100.00	.	.	100.00	.	.	.	97.35;97.35;93.82;96.47	.	100.00	99.78;98.65;99.55;100.00	.	100.00;100.00;99.72;99.72	.	99.61	95.53;100.00;100.00;82.11;100.00	.	100.00;100.00	96.92	.	.	.	.	.	.	100.00	100.00	100.00	89.09	100.00	.	99.91	98.82	100.00	100.00;98.82	94.39;100.00	99.84	100.00;99.75	100.00;99.77;100.00;100.00;99.77	.	.	.	100.00	100.00	100.00	100.00	.	.	100.00	91.31;100.00	100.00;100.00	99.60;100.00	100.00	100.00	100.00	99.16	91.97	100.00	100.00	100.00	83.70	.	100.00;99.42;100.00;100.00	100.00	100.00	100.00	100.00	.	.	84.38	.	.	100.00	100.00	100.00	100.00	100.00	99.56;100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	.	100.00	.	.	.	.	.	.	99.78	100.00	100.00	94.55	100.00	.	.	.	95.16	.	.	.	.	.	.	.	.	99.36	95.85;100.00;100.00;100.00;93.86;100.00	.	.	.	99.90;98.89;99.80;99.90;99.80	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	100.00	100.00;99.12	100.00	81.42;100.00	100.00;100.00	98.67;90.48	.	88.32;90.03;98.03	99.84;92.94;99.84;96.43	.	.	.	.	100.00;100.00;98.46	100.00	.	.	.	.	.	83.37	.	100.00;100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	100.00	95.26;100.00	99.96	100.00	99.32;98.81;88.78	100.00;100.00	100.00	100.00	100.00	99.77	100.00;100.00	99.73;99.73	100.00	100.00
ABRicate_results/vfdb/P3_vfdb.txt	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ABRicate_results/vfdb/P4_vfdb.txt	235	.	.	.	.	.	.	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00;85.95	100.00	92.73	.	100.00	.	.	100.00	100.00	84.87	100.00	100.00	100.00	100.00	100.00	100.00	99.83	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	92.23;91.04;99.51	.	100.00	99.28	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	98.83;97.08	81.88	.	.	100.00	100.00	.	100.00	.	.	99.71;99.71	100.00	.	.	.	.	.	.	99.46;98.80;100.00;99.20;96.79	99.65;100.00;100.00;99.77;99.53;99.30	.	.	98.07;100.00;98.26	99.82;99.85	96.62;97.83;100.00;97.28;96.78	100.00	99.82;99.87	.	97.99;96.98;97.99;97.43;96.57	98.61;99.21;85.02	99.80;99.70	.	99.60	96.72;100.00;100.00	100.00	84.57;84.85	96.59	94.42	100.00	90.33;90.33;100.00	99.56;100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	99.58	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00;98.62	100.00	98.69;100.00	.	.	100.00	.	88.12	.	.	.	93.82;96.47;96.47	100.00	.	97.19;99.33;98.65	.	100.00;100.00;86.78;99.72;100.00;86.50	.	.	99.19;100.00;100.00;100.00	100.00	100.00;100.00;100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	99.27	100.00	.	.	.	.	.	.	99.75;99.95	99.77;99.95;99.27;99.45	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	100.00	100.00;91.17;100.00	100.00;100.00;99.76	100.00	100.00	.	.	100.00	.	.	.	.	100.00	100.00	100.00;100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.70;99.56;100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	89.12	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	100.00	100.00	83.68	100.00	100.00	100.00	100.00;100.00	100.00	100.00	100.00	100.00	99.04	100.00	100.00	100.00	100.00	100.00	100.00	100.00	94.52	100.00	100.00	.	100.00;100.00;100.00;100.00;100.00;93.86;95.85;88.63;100.00	97.30	100.00	100.00	99.80;99.60;99.90;99.90;99.90;97.89	.	100.00	.	.	.	100.00	100.00	100.00	83.08	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00;99.12	.	99.94;100.00	100.00;100.00	98.67;90.48;92.76	100.00	88.58;88.32;98.03;98.03	99.84;96.43;99.84;99.95	.	.	.	.	99.74;100.00	.	.	.	.	.	.	83.37	100.00	99.80	99.35	99.84	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	88.78	100.00;100.00	96.89;100.00;96.01	83.13	100.00;100.00	99.77;99.85	100.00;100.00;99.63	99.73;98.55;98.55	100.00;97.27	.
ABRicate_results/vfdb/P5_vfdb.txt	66	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00;98.35	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	.	.	92.23;99.51	.	.	.	100.00	94.10	.	.	.	.	.	.	100.00	98.83;97.08	.	.	.	.	100.00	100.00	100.00	99.28	.	99.71	.	.	.	.	.	.	.	99.20;99.46;98.80	99.30;99.77;99.65;99.30;100.00	.	.	99.81;99.94;98.26;97.95	99.59	97.28;97.83;96.54	.	99.87	.	93.14;96.98;97.99;98.49	98.61	100.00;99.80	.	.	100.00;96.72	.	84.16;84.57	.	.	.	90.33;90.33	99.56	.	.	.	.	.	.	.	.	.	.	.	.	89.12	.	.	.	.	.	.	.	100.00;99.30	.	.	.	.	.	.	.	.	96.47;97.35;96.47	.	100.00	97.19;99.33;98.65	.	100.00;99.72	.	.	99.19	.	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	99.75	99.45;99.95;99.45;100.00	.	.	.	.	.	.	.	.	.	.	.	95.50	99.50	.	.	.	.	.	.	.	.	.	.	100.00;99.42	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.56	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;100.00;93.86;100.00;100.00	.	.	.	99.90;99.90;99.90;98.39	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.12	.	100.00	100.00	98.67;90.48;92.76	.	88.32;98.03;98.03	99.84;99.84;96.43;99.95	.	.	.	.	99.74	.	.	.	.	.	.	.	.	99.80	99.35	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	99.77	100.00	99.73	100.00	.
